000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
482	Yuki's brother, who arrived in the world beyond as a<br>boy. Seeking to advance past the sins of the past.<br>Area attacks might Slow and Weaken Angels/Aliens.	Souma was saved from being swept up by a Cat<br>and granted powers to summon lost souls.<br>Area attacks might Slow and Weaken Angels/Aliens.	Souma was aved from being swept up by a Cat<br>and granted powers to summon lost souls.<br>Area attacks might Slow and Weaken Angels/Aliens.
483	Heroes from Shoumetsu Toshi! Two wanderers in<br>the ruins of the city, confronting their own sins.<br>Tough vs Aliens, Area Attack	Joined by a Cat picked up at the seaside, our<br>wanderers set their sights on the ruined city.<br>Tough vs Aliens, Area Attack	
484	Valkyrie's younger sister, marked by the darkness.<br>Valhalla's agent, smiting evil from within the abyss!<br>Blocks enemy Waves! Strikes with Wave Attacks!	Valkyrie's youngest sister, a fearsome bounty hunter.<br>Rides with her posse to subdue agents of evil.<br>Blocks enemy Waves! Strikes with Wave Attacks!	
485			
486			
487	Recruited from Evangelion!<br>Anti-NERV production model maintained by WILLE.<br>Long-range debuffs versus Floating enemies!	Recruited from Evangelion! Wields a variety<br>of weapons but specializes in providing cover fire.<br>Long-range debuffs versus Floating enemies!	
488	Cats have taken over WILLE's flagship! Seems they<br>respected the original design and avoided customizing it.<br>Massive Area damage vs. Angels and Zombies.	Cat-powered airship built to overthrow NERV.<br>A terrifying weapon staffed by capricious Cats...<br>Massive Area damage vs. Angels and Zombies.	
489	Recruited from Evangelion! A bright and<br>charismatic officer who acts as Shinji's guardian.<br>Might break Barriers and Slow Aliens!	Recruited from Evangelion! The ruthless<br>leader of the anti-NERV organization WILLE.<br>Might break Barriers and Slow Aliens!	
490	Recruited from Evangelion! Cool researcher<br>from NERV's technical development team.<br>Area attacks might Weaken Aliens.	Recruited from Evangelion! After becoming<br>a WILLE officer, treats Shinji coolly.<br>Area attacks might Weaken Aliens.	
491	Recruited from Evangelion!<br>But it seems she has no memory of Shinji...?<br>Tough vs Black, Area attacks might Weaken.	Recruited from Evangelion!<br>Beginning to wonder about her true identity...<br>Tough vs Black, Area attacks might Weaken.	
492			
493	The origin of all Life... and she can choose<br>to undo it all whenever she pleases. Long-range<br>Area attacks deal extreme damage to Traited.	The ultimate Goddess, who directs mana birthed<br>from the World Tree to annihilate enemies of Good.<br>Extreme damage to Traited. (Long-range Area Atks)	
494	A cool beauty who gained command of her own ship!<br>Now she just has to keep Cats from sinking it.<br>Might freeze Red, Black or Metal enemies!	Her Cat crew's recommendation earned her another<br>tour of duty. Ah, nothing like a lovely sunset with a Cat.<br>Might freeze Red, Black or Metal enemies!	
495	Fearless bullfighter dodging danger with a hearty Olé!<br>Pacifist at heart, his only weapon is his crimson cape.<br>Has a chance to dodge Red attacks.	Graceful dancer dodging danger to hearty Olés!<br>Well trained in the art of Dodging Red attacks (as<br>well as unwanted advances from certain tomcats.)	
496	This stunning warrior has been blessed with<br>an invincible blade and a resolute body.<br>Slows Black/Zombies, might strike Savage blows.	Incomparable beauty who mercilessly destroys<br>foes while maintaining perfect composure in battle.<br>Slows Black/Zombies, might strike Savage blows.	This dignified heroine has withstood the corruption<br>of the cursed weapons and seeks only to bring peace.<br>100% Slow vs Black/Zombies, chance of Savage blows.
497	With extinction looming, this Cat<br>will survive by evolving a mightier jaw.<br>	Sometimes a jaw isn't enough?<br>Get swole for MORE POWER!<br>	
498	Joining the fight from Shakurel Planet!<br>Do you feel like that super chin makes<br>the King of the Beasts a bit less regal?	Joining the fight from Shakurel Planet!<br>The symbol of power is no longer the mane,<br>but the JAW! ...said the press release.	
499	Joining the fight from Shakurel Planet!<br>I would have liked to grow wings, but<br>instead I evolved a powerful chin.	Joining the fight from Shakurel Planet!<br>Hey, where are the stripes on my jaw?!<br>Can't those Cats do anything right?	
500	Joining the fight from Shakurel Planet!<br>Leaves just don't satisfy anymore... maybe<br>bones, trees and rocks are more filling.	Joining the fight from Shakurel Planet!<br>Even though I can now chew up bones,<br>trees and rocks, I can't give up on bamboo.	
501	Joining the fight from The Battle Cats Together!<br>We love games and are Super friends!<br>Tough vs Traitless enemies! (Area Attack)	Joining the fight from The Battle Cats Together!<br>Even when we grow up, we'll never stop playing!<br>Tough vs Traitless enemies! (Area Attack)	
502	Money couldn't buy happiness, but it bought a small<br>arsenal that very much brings a smile to her face.<br>Wave Attacks, might dodge Traitless enemy attacks.	RoboButler is endlessly apologizing for Myr's rich-girl<br>faux pas (and the trail of destruction left in her wake).<br>Wave Attacks, might dodge Traitless enemy attacks.	Bourgeois space princess living a high-class life,<br>but can't resist cravings for cheap cheeseburgers.<br>Wave Attacks, might dodge Traitless enemy attacks.
503			
504			
505	Gargantuan horned beast, spitting vicious<br>thunderbolts that shake the very firmament.<br>Chance to Knockback/Slow Traitless enemies.	None may stand against the horned king bearing<br>the soul of storms and impenetrable ebony armor.<br>Chance to Knockback/Slow Traitless enemies.	Bathed in the light of obliteration at a holy mountain<br>and realized the power to destroy all life. (Area Atk)<br>100% Chance to Knockback/Slow Traitless.
506	Joining the fight from Merc Storia!<br>Renounced his pirate past to become a marine.<br>100% Survives, Chance of Savage Blow. (Area)	Joining the fight from Merc Storia!<br>Wields power for the cause of one special person.<br>100% Survives, Chance of Savage Blow. (Area)	
507	Heroic caped Cat who soars through the air (while<br>worrying about being fired from his part-time job.)<br>Weaken Traitless, nullfies Wave Attacks	Grew Macho thanks to his nervous eating habit.<br>Practices singing in the park when no one's around.<br>Weaken Traitless, nullfies Wave Attacks	
508	A Cat endlessly training to fight the strongest<br>warriors. Sadly, none seem to be around now.<br>Might Freeze Black enemies.	I hoped to meet one warrior stronger than me.<br>Sadly, everyone seems to fit that description.<br>Might Freeze Black enemies.	
509	A Cat who seems to have stuck buns in her<br>hair. Trying to learn the Spinning Bird Kick.<br>Small chance of Critical.	Beautiful Cat working for the ICPO.<br>Mesmerizing kicks stun her opponents.<br>Small chance of Critical.	
510	Joining the fight from Street Fighter V AE!<br>Seeks mighty warriors to fight to the death.<br>Insane Area damage vs. Traitless.	Joining the fight from Street Fighter V AE!<br>Master of the Fist, attacks with pure killing spirit.<br>Insane Area damage vs. Traitless.	
511	Joining the fight from Street Fighter V AE!<br>A hero walking the path of a true fighter.<br>Chance to deliver a Savage Blow (Area Attack)	Joining the fight from Street Fighter V AE!<br>Seeking a rival who will finally test his skills.<br>Chance to deliver a Savage Blow (Area Attack)	
512	Joining the fight from Street Fighter V AE!<br>ICPO agent searching for her lost father.<br>Might Knockback Red, Black, and Aliens.	Joining the fight from Street Fighter V AE!<br>Can you withstand her lightning kicks?<br>Might Knockback Red, Black, and Aliens.	
513	Joining the fight from Street Fighter V AE!<br>Hardened soldier seeking peace for his home.<br>Tough vs Floating, Slow/Weaken	Joining the fight from Street Fighter V AE!<br>Crush villains with a Somersault Kick!<br>Tough vs Floating, Slow/Weaken	
514	Joining the fight from Street Fighter V AE!<br>A towering wrestler called "Red Cyclone".<br>Omnistrike, might avoid Zombie damage	Joining the fight from Street Fighter V AE!<br>Submit to the force of his Cyclone Lariat!<br>Omnistrike, might avoid Zombie damage	
515	Joining the fight from Street Fighter V AE!<br>Gentle defender of the Amazon forests.<br>Massive Omnistrike damage vs Aliens	Joining the fight from Street Fighter V AE!<br>Strikes with a chaotic Rolling Attack!<br>Massive Omnistrike damage vs Aliens	
516	Joining the fight from Street Fighter V AE!<br>Mystic who has mastered the arts of yoga.<br>100% Weaken vs Traitless (Area Attack)	Joining the fight from Street Fighter V AE!<br>Calls upon Agni to command holy fires.<br>100% Weaken vs Traitless (Area Attack)	
517	Joining the fight from Street Fighter V AE!<br>Like a brother to Ryu, and his greatest rival.<br>Knockback/Strong vs Red, Floating, Angels (Omni)	Joining the fight from Street Fighter V AE!<br>Ryu's ultimate rival, master of the Shoryuken.<br>Knockback/Strong vs Red, Floating, Angels (Omni)	
518	Giraffe Cat awoke filled with killing spirit.<br>All who witness his new look tremble.<br>Strong vs Traitless, with Wave Shield! (Omni)	A Cat consumed by bloodlust, rushing into<br>battle smelling of weaklings he has crushed.<br>Strong vs Traitless, with Wave Shield! (Omni)	
519	Incarnation of Evil summoned to eradicate the forces<br>of Good. May strike a Savage Blow imbued with dark<br>power. Survives once, stronger after taking damage.	His final form, revealed for the final confrontation with<br>the heroes. Smites adventurers with Savage Blows,<br>Survives once, Stronger after taking damage.	
520	Happy-go-lucky Cat representing the Gods of Fortune.<br>No more blessings to share, sorry. Long-range attacks<br>may inflict various negative effects on traited enemies.	Lock your doors if you hear him coming, he's got lots<br>of misfortune to share. Long-range attacks may<br>inflict various negative effects on traited enemies.	
521	Fiercely proud of her edgy hairstyle. Uses extra<br>spray to prevent her locks from slithering out of<br>place. Long-range area attacks may Freeze Relics.	The spray couldn't hold them down, so she had to<br>tie her unruly locks up to keep them under control.<br>Long-range area attacks may Freeze Relics.	
522	Some rude "hero" dropped his axes right in her pond.<br>No time for litterbugs, no matter how handsome they<br>might be! Long Range Area attacks.	Somehow this Cat qualified for the tournament...<br>Somehow she won Gold. An investigation is<br>underway. Long-range Area Attacks.	
523	Top student at a discount martial arts school that<br>costs $40 per month. Goes twice weekly after work.<br>Tough vs Zombies.	Owner of a discount martial arts school. His insistence<br>on using custom equipment disqualifies him from<br>official competitions. Tough vs Zombies.	
524			
525	Young exec at AxeCorp, managing operations<br>at the mountain office with intern Li'l Bear.<br>Might Slow Angels and strike a Savage Blow.	Gathered the whole Beast Division for a unified<br>fight against a very hostile acquisition attempt.<br>Might Slow Angels and strike a Savage Blow.	
526	Overflowing with holiday cheer, they'll smash<br>any grumps who won't get into the Xmas spirit.<br>Massive Area damage to Angels and Floating.	Two good kids who are never on Santa's naughty<br>list. Always the first to help with Xmas decorations.<br>Massive Area damage to Angels and Floating.	
527	When I woke up, I found myself turned into a slime.<br>Now I wander the city bullying low-level heroes.<br>100% Wave Attack chance.	Uncanny beasts that appear en masse, soothing<br>the eyes and stinging the skin of passersby.<br>Bewilder your enemy with Wave Attacks!	
528	A Cat of the steppes, master of the dance.<br>Years of practice developed powerful thighs<br>to deliver massive damage to Relics.	On fearsome winter nights, enjoys a powerful<br>liquor to warm himself and enhance his<br>leg power. Massive damage to Relics!	
529	Young wanderer whose soul is a prison to 1000<br>vengeful ghosts. Trifle with her at your peril.<br>Long-range Surges might Knockback Traited!	Having at last encountered kindness and love, she<br>now commands her wraiths for the cause of light!<br>Long-range Surges w/ chance to Knockback Traited!	
530			
531	Lead in the hit drama "Trial of Teacher Bear".<br>Smashes anyone who steals his spotlight.<br>Delivers insane area damage to Traitless.	Production assistant on the set of "Teacher Bear".<br>Obliterates anyone who stands in front of him.<br>Delivers insane area damage to Black.	
532	The weak shall serve the strong! Or so they say.<br>The founding ancestor of a proud warrior clan.<br>Area attacks might weaken non-Metal enemies.	The first of their line to terrorize enemies by<br>riding a ferocious Cat-beast into the enemy lines.<br>Area attacks might weaken non-Metal enemies.	
533	A sniper prodigy, small but effective. Can change<br>the entire course of battle with a single bullet.<br>Long-range attacks only hit Aliens & Red.	The watchful guardian over the night city. Genius<br>with a rifle, who still has to help Mom with the dishes.<br>Long-range attacks only hit Aliens & Zombies.	
534	Supreme overlord and judge of the dead.<br>Condemns evil souls with his infernal scythe.<br>Immune to Toxic & Warp (Area Attack)	Ruler of the underworld who reaps the spirits<br>of sinners, bringing them to their ultimate fate.<br>Immune to Toxic & Warp (Area Attack)	
535	Virtual singer loved by the entire Cat Empire!<br>Cute & stylish electric pop diva. (Area Attack)<br>Strong vs. & Weakens Red, Floating, Angels.	Virtual singer loved by the entire Cat Empire!<br>Her voice is famous around the globe. (Area Attack)<br>Strong vs. & Weakens Red, Floating, Angels.	
536	Virtual singer loved by the entire Cat Empire!<br>Cute & stylish diva dressed for spring! Long-range<br>Area attacks Freeze Aliens, might break Barriers.	Virtual singer loved by the entire Cat Empire!<br>Diva who dances among the cherry blossoms.<br>Area attacks Freeze Aliens, might break Barriers.	
537	Virtual singers loved by the entire Cat Empire!<br>Powerful and charming twin vocals. Long-range<br>Area attacks might Knockback/Slow Black & Metal	Virtual singers loved by the entire Cat Empire!<br>Voices filled with the dreams of youth. Long-range<br>Area attacks might Knockback/Slow Black & Metal	
538	Die-hard fan of a cute & stylish pop diva.<br>Broke a mirror trying to cover Miku's songs.<br>Might Dodge Floating enemy attacks	Taking first steps toward global pop stardom.<br>Has front row seats for Miku's next show.<br>Might Dodge Floating enemy attacks	
539	Young and talented winger for Cat Empire F.C.<br>Key attacker in recent wins against the Doges.<br>Strong vs. Black, Immune to Waves. (Area Atk.)	Moved across the sea and started a new sport.<br>He seems to enjoy the extra padding. Strong<br>vs Black, Immune to Waves (Long-range Area)	
540			
541			
542			
543	As the curses within whisper to her, she wanders the<br>land desperately seeking to finally find inner peace.<br>Long-range Area Surge attacks will 100% Curse.	As her soul absorbs the cursed power of her enemies,<br>she has become the personification of disaster itself.<br>Long-range Area Surge attacks will 100% Curse.	
544	Curious maiden exploring the fantastic Cat Empire<br>Strikes down demons with her blade Honoka.<br>Insanely Tough vs Metal, Area attacks Might Critical.	Her experiences in our world have made her wiser.<br>Honoka has protected her in many a fierce battle.<br>Insanely Tough vs Metal, Area attacks Might Critical.	
545	A vague shape that kind of resembles a Cat.<br>Finds it tough to keep it together in windy places.<br>Long-range Area attacks hit Angels for massive damage.	An ambiguously Cat-like being made of dark vapor.<br>Belches up foul gasses when he has tummy trouble.<br>Long-range Area attacks hit Angels for massive damage.	
546	Not sure if this is a Cat...<br>There's just something about<br>that toothless smile...	Great googly moogly! Seems like this<br>mysterious old-timer has Area attacks<br>that 100% Curse non-Metal.	
547			
548			
549			
550			
551			
552			
553	Cat who ran away from home to become a baker in<br>the big city. His croissants are tasty AND battle-ready!<br>Long-range atks 100% Curse Angels/Aliens/Zombies	Disillusioned by city life, returned home to reclaim his place<br>as a proud hunter wielding a high-tech homing weapon.<br>Long-range atks 100% Curse Angels/Aliens/Zombies	
554	The will of one in flowing robes is the law!<br>And so, he forced his way into the Cat Army.<br>100% Slow vs Relics, Area Surge attacks.	Fabled martial artist who sealed away the demon king.<br>...says the parrot. This mask is a gift from his grandchild.<br>100% Slow vs Relics, Area Surge attacks.	
555	Heavenly hero serving the will of Nadia.<br>Also the parent of Super Zeus. Long-range<br>attacks might Knockback traited enemies.	The ultimate manifestation of compassion<br>raising his sword to defend innocents from evil!!<br>Long-range attacks Knockback traited enemies.	
556	An angel born in the realm of dreams, who soars<br>through the heavens sealing away stray devils.<br>Massive long-range damage to Black/Angels!	Sealing demons with his righteous blade,<br>the true scion of the heavenly realms!<br>Massive long-range damage to Black/Angels!	Heaven's hero, corrupted by infernal magics?!<br>Can this fallen knight's rampage be stopped??<br>Massive long-range damage to Black/Angels!
557	An angel who frolics through the elysian fields.<br>Make the devils dance before crushing them!<br>Extra money earned by defeating enemies!	Divine King who uses godlike speed to fulfill<br>the prophecies of the heavenly realms.<br>Extra money earned by defeating enemies!	
558	Escaped the Capsule  Machine to celebrate<br>another year of fun! Spin, spin, and spin some<br>more! Might Knockback enemies.	You fool! This isn't even my luckiest form!<br>Is there such a thing as TOO much spinning?<br>Might Knockback enemies.	
559	Hunter of evil souls trying to escape their<br>eternal punishment. Back to the pit with you!<br>Omnistrikes might Weaken. Immune to Waves.	Judge, jury and executioner of the treacherous<br>dead who cast aside all honor for victory in battle.<br>Omnistrikes might Weaken. Immune to Waves.	
560	Virtual singer loved by the entire Cat Empire!<br>Bilingual vocalist with just a bit of mystery to her.<br>Massive Long-Range Area Damage to Floating/Black	Virtual singer loved by the entire Cat Empire!<br>Laid-back bilingual vocalist with a silky smooth voice.<br>Massive Long-Range Area Damage to Floating/Black	
561	Virtual singer loved by the entire Cat Empire!<br>Talented vocalist who transcends genre.<br>Massive Long-Range Area Damage to Red	Virtual singer loved by the entire Cat Empire!<br>Heartfelt singer with a world-class voice.<br>Massive Long-Range Area Damage to Red	
562	Die-hard fan of a cool & mysterious singer.<br>Avoids dancing to preserve her mysterious allure.<br>Chance to Dodge Alien attacks	To better be like that cool & mysterious singer,<br>dances with a tuna and talks like a salty sea dog.<br>Chance to Dodge Alien attacks	
563	Waterguns are harder to aim... but at least<br>accidental TKs only get summer camp friends wet.<br>Long-Range Area attacks only hit Floating/Black	Watches over the starlit beaches, protecting sea<br>turtles from rowdy partiers with illegal fireworks.<br>Long-Range Area attacks only hit Floating/Angels	
564	Not sure if this is a Cat... or a Gal?<br>There's just something about<br>that taste in swimwear...	Blistering barnacles! Seems like<br>this bodacious beach babe has<br>100% chance of Area Surge attacks	
565	Bronzed to perfection in the midsummer sun.<br>Better to worry about future wrinkles later.<br>Chance to Dodge Traitless attacks	Bronzed to perfection while doing pull-ups<br>at the beachside gym. Sun's out, guns out!<br>Chance to Dodge Traitless attacks	
566	Best friends who keep the beaches safe and fun,<br>endlessly scanning the surf with 20/20 vision.<br>Long-range Area attacks have chance to Slow Traitless	Three loyal brothers who resemble a sugary<br>treat. The one on top is surprisingly not the oldest.<br>Long-range Area attacks have chance to Slow Traitless	
567			
568	Mystery lifeform that seems to be analyzing<br>the Cats. No one knows why it has joined<br>their army. Massive Area damage to Relics.	Appears out of nowhere to perform scans<br>of powerful Cats. Its mission is still unknown.<br>Massive Area damage to Relics.	
