000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
083	Un gatodragón antiguo.<br>Allá por donde pasa, deja destrucción.<br>Resistente a voladores y puede repelerlos. (Ataque de área).	Una antigua arma gatodragón.<br>Por fin ha alcanzado su forma final de dragón.<br>Resistente a voladores y puede repelerlos. (Ataque de área).	Por fin ha alcanzado su forma final finalísima de dragón.<br>Con su poder es capaz de dividir la Tierra en dos.<br>Resistente a voladores y siempre los repele.
084	Un gatodragón antiguo.<br>Fue creado para purificar el mundo. Puede repeler<br>y ralentizar a enemigos voladores. (Ataque de área).	Un gatodragón antiguo.<br>Por fin ha alcanzado su forma final de dragón. Puede repeler<br>y ralentizar a enemigos voladores. (Ataque de área).	Posee la piedra de dragón divina. No dudará en<br>devorar a cualquiera para mantener su trono imperial.<br>Puede ralentizar a enemigos voladores. (Ataque de área).
085	Caballero Dragón Vars legendario. Ha cabalgado a lomos<br>de miles de dragones. Puede repeler y ralentizar<br>a enemigos negros. (Ataque de área).	Caballero Dragón Vars legendario. Ahora libera<br>todo su potencial. Puede repeler y ralentizar<br>a enemigos negros. (Ataque de área).	Un caballero legendario capaz de dominar hasta a la<br>montura más salvaje. Puede repeler y ralentizar<br>a enemigos negros. (Ataque de área).
086	El gatodragón antiguo Kamukura. Dicen que<br>es capaz de mover los cielos. Puede repeler<br>y ralentizar a enemigos rojos. (Ataque de área).	El gatodragón antiguo Kamukura. Tras conseguir las 7 bolas,<br>por fin ha alcanzado su forma final. Puede repeler<br>y ralentizar a enemigos rojos. (Ataque de área).	Un gatodragón antiguo que ha logrado despertar<br>el poder de las 7 bolas místicas. Puede repeler<br>y ralentizar a enemigos rojos.
087	Una antigua arma antigatodragones.<br>Lanza una lluvia de balas letales.<br>Siempre repele a enemigos rojos. (Ataque de área).	Una antigua arma antigatodragones.<br>Raiden está programado para ir a lo loco.<br>Siempre repele a enemigos rojos. (Ataque de área).	La locura ha desatado el terrible poder de Raiden.<br>Nada puede oponerse a la potencia de su rayo sagrado.<br>Eficaz contra enemigos rojos y siempre los repele.
088	Va cantando sin parar la de «Al saltar la barca».<br>Es una unidad muy barata y divertida.<br>Puede infligir daño crítico.	Saltar a la comba siempre es más divertido de dos en dos.<br>Sigue siendo una unidad barata y el doble de divertida.<br>Puede infligir daño crítico.	¡Bueno, bonito y barato!<br>Eso describe a ambas cosas: los gatos y los fideos.<br>Tiene una defensa dura y puede infligir daño crítico.
089			
090			
091	El gato básico.<br>La versión demente adquiere velocidad,<br>pero tiene las patas demasiado cortas...	Punto a favor: sus músculos están bien definidos.<br>La versión demente adquiere velocidad.<br>Y un poco más de... ¿definición?	Tanto entrenar lo ha vuelto un poco<br>grillado, pero es igual, sigue funcionando.<br>La versión maníaca adquiere velocidad.
092	Duro y con mucha vida. (Ataque de área).<br>Tan fuerte que es capaz de mover una pluma ¡él solito!<br>La versión demente adquiere velocidad.	Buena defensa. Y ahora tiene esquinas. (Ataque de área).<br>Tan fuerte, tan fuerte que mueve piedrecitas de una en una.<br>La versión demente adquiere velocidad.	Gracias a su elasticidad, aguanta bien las tundas.<br>La versión maníaca recibe una defensa<br>todavía más superestupenda. (Ataque de área).
093	Es un flipado de la lucha.<br>Eficaz contra enemigos rojos.<br>La versión demente aumenta el poder de ataque.	Quiere convertirse en héroe cuando sea grande.<br>Eficaz contra enemigos rojos.<br>La versión demente aumenta el poder de ataque.	Es un caballero carismático que ansía<br>luchar. Eficaz contra enemigos rojos.<br>La versión maníaca aumenta su defensa y ataque.
094	Tiene un potente ataque a distancia.<br>La versión demente ataca con oleadas,<br>pero tarda más en recargarse.	Tiene unas piernas tan largas que le llegan al suelo.<br>La versión demente ataca con oleadas,<br>pero tarda más en recargarse.	El locurote ha potenciado la belleza de sus<br>piernacas y el poder de sus ataques a distancia.<br>Pero, a cambio, está perdiendo popularidad.
095	Piensa rápido, actúa rápido y utiliza la cabeza.<br>¡Y corre como el viento!<br>La versión demente adquiere ataque de área.	Piensa rápido, actúa rápido y utiliza la cabeza.<br>¡De cabeza a rocanrolear!<br>La versión demente adquiere ataque de área.	Un personaje fantásticamente ágil.<br>Aunque está maníaco, su estupenda melena<br>le da velocidad. (Ataque de área).
096	Tiene la vida de un estornudo.<br>Poder de ataque excepcional. (Ataque de área).<br>La versión demente aumenta el alcance.	Consiguió vencer la batalla contra la gravedad.<br>Es eficaz contra varios tipos de enemigos. (Ataque de área).<br>La versión demente aumenta el alcance.	Este objeto volador identificado no tiene compasión y lanza<br>rayos de luz a distancia que destruyen ciudades enteras.<br>«¡Más poder! ¡Más alcance! ¡Ja, ja, ja!».
097	Eficaz contra enemigos rojos.<br>La versión demente reduce su tiempo de recuperación.<br>Puede infligir daño crítico.	Es un gato que mutó en una ballena carnívora.<br>Eficaz contra enemigos rojos.<br>Puede infligir daño crítico.	Se rumorea que en esta isla maníaca viven demonios.<br>Eficaz contra enemigos rojos. Puede infligir daño crítico.<br>La versión maníaca le otorga más defensa y poder de ataque.
098	Es un buen atacante desde lejos.<br>Tiene un buen ataque individual a distancia.<br>La versión demente tiene alta definición.	Ha llegado desde un mundo fantástico.<br>Tiene un buen ataque individual a distancia.<br>La versión demente tiene alta definición.	Ni el locurote puede evitar que se una a la<br>élite. Sus ataques y su poder gráfico<br>no tienen parangón. O eso dice él...
099	Tiene un gran poder de ataque<br>y mucha vida. (Ataque de área).<br>La versión demente ataca con oleadas.	Tiene un gran poder de ataque<br>y mucha defensa.<br>La versión demente ataca con oleadas.	Al volverse maníaco, nadie puede superar<br>su ataque, su defensa y su velocidad supernatural.<br>También ataca más a menudo con oleadas.
100	Sus golpes son mensajes para comunicar<br>las emociones puras que alberga su corazón.<br>Eficaz contra enemigos rojos. (Ataque de área).	Ya pasa de asuntos románticos y se dedica<br>por completo al deporte. No hay quien la detenga.<br>Eficaz contra enemigos rojos. (Ataque de área).	Dedica su vida al deporte. Su potencia física<br>sin igual le ha granjeado 22 medallas de oro<br>en aplastamiento de enemigos rojos. (Ataque de área).
101			
102			
103	Una superestrella felina ídolo en el mundo musical.<br>Vas a flipar cuando veas su aspecto<br>al mutar al nivel 10.	Un felino legendario por su habilidad de impresionar<br>a todo aquel que le eche el ojo.<br>¡Fliparás con su aspecto! (Ataque de área).	Sus deslumbrantes colores le otorgan<br>un esplendor de niveles mitológicos.<br>¡Fliparás con su aspecto! (Ataque de área).
104	Es pariente lejano del Piscigato<br>y un buen atacante a distancia.<br>Eficaz contra enemigos rojos.	Un primo lejano del Gatilargo y del Gato Koi<br>que todavía no sabe bien si es Largo o Koi.<br>Eficaz contra enemigos rojos.	«El amor... ¿es pasión o ilusión?<br>Lo único que sé es que me encanta nadar».<br>Eficaz contra enemigos rojos. (Ataque de área).
105	Ferviente seguidora de las últimas técnicas brujeriles.<br>Controla su bastón a distancia para infligir mucho daño.<br>Eficaz contra enemigos rojos y negros. (Ataque de área).	Ferviente seguidora de las últimas técnicas brujeriles.<br>No se le dan bien los hombres y siempre acaba insultándolos.<br>Eficaz contra enemigos rojos y negros. (Ataque de área).	Trátala de debilucha y conocerás el verdadero dolor.<br>Y tus disculpas solo conseguirán que te pegue más fuerte.<br>Eficaz contra enemigos rojos y negros. (Ataque de área).
106	Una jovencita con la cabeza en las nubes que cabalga sobre<br>su cerdito volador. Lanza potentes rayos. Sufre menos daño de<br>voladores y sobrevive a un golpe mortal. (Ataque de área).	Le gusta cualquiera que le diga cosas bonitas, así que<br>no es muy exigente en el amor. Sufre menos daño de<br>voladores y sobrevive a un golpe mortal. (Ataque de área).	«Si todos los chicos guapos son tu tipo, ¿cuál es tu tipo?».<br>Siempre viaja con su jabalíborg. Sufre menos daño de<br>voladores y sobrevive a un golpe mortal. (Ataque de área).
107	Ten cuidado con su poderoso bastón,<br>porque lanza rayos de luz. Puede<br>paralizar a enemigos voladores. (Ataque de área).	No sonríe mucho. Sin embargo,<br>delante de los gatos es de otra manera.<br>Puede paralizar a enemigos voladores. (Ataque de área).	¿Qué puedes hacer tú por ella que no haga ya su<br>gato favorito? Mejor vuelve dentro de cien años.<br>Puede paralizar a enemigos voladores. (Ataque de área).
108	Viven felices dentro de su bola.<br>¡Quién necesita el mundo exterior!<br>(No deberían ser ejemplo para nadie).	Una fortaleza casera tan resistente como permite<br>el reducido presupuesto. Resiste a todo tipo de ataques,<br>pero es un poco debilucha contra las humedades.	
109	Ay, qué tiempos aquellos, y qué recuerdos...<br>Actúa como escudo aprovechando que tiene mucha vida.<br>También inflige algo de daño. (Ataque de área).	Ahora que ha capturado al hombre de sus sueños,<br>nadie puede poner peros a su gobierno doméstico.<br>Es muy resistente e inflige bastante daño. (Ataque de área).	No contenta con gobernar su casa, ahora también domina<br>el terreno de las bestezuelas. Su autoridad la protege<br>y hasta le puede evitar la muerte una vez. (Ataque de área).
110	Joining the fight from Merc Storia! Kind-<br>hearted girl who will do anything for others.<br>Small chance to Slow Red enemies.	Joining the fight from Merc Storia!<br>Her fan club grows daily across the land.<br>Small chance to Slow Red enemies.	
111	Joining the fight from Merc Storia!<br>A gentle and naive young lady.<br>Tough vs Black enemies.	Joining the fight from Merc Storia!<br>Don't be fooled, her tail is incredibly powerful!<br>Tough vs Black enemies.	
112	Joining the fight from Merc Storia!<br>Left her homeland to learn about the world.<br>Small chance to Knockback Red.	Joining the fight from Merc Storia!<br>Has a kind face but a sadistic nature.<br>Small chance to Knockback Red.	
113	Joining the fight from Merc Storia!<br>A gentle young lad who loves stargazing.<br>Small chance to Freeze Red.	Joining the fight from Merc Storia!<br>Serene but slightly absentminded youth.<br>Small chance to Freeze Red.	
114	Joining the fight from Merc Storia!<br>A genteel youth with a reckless nature.<br>Small chance to Slow Black enemies.	Joining the fight from Merc Storia! Enjoys<br>drinking under the moon, but he's a light-weight.<br>Small chance to Slow Black enemies.	
115	Joining the fight from Merc Storia!<br>Loyal to her master in the Sky Country.<br>Small chance to Knockback Black.	Joining the fight from Merc Storia! Known<br>among the people for devotion to justice!<br>Small chance to Knockback Black.	
116	Joining the fight from Merc Storia! A lass from<br>the Sky Country, horned due to her mixed blood.<br>Might Freeze Black enemies.	Joining the fight from Merc Storia! Taking grand-<br>dad's teachings to heart, she travels the world.<br>Might Freeze Black enemies.	
117	Joining the fight from Merc Storia! Normally<br>shy, but if you get her talking about guns...<br>Area attacks might Knockback Black.	Joining the fight from Merc Storia!<br>Gun maintenance is her number one hobby.<br>Area attacks might Knockback Black.	
118	Joining the fight from Merc Storia! Her strong<br>emotions cause shocks to people nearby.<br>Area attacks might Slow Black.	Joining the fight from Merc Storia!<br>Monsters flee from her presence.<br>Area attacks might Slow Black.	
119	Joining the fight from Merc Storia! Delivering<br>powerful blows from above that cause<br>Massive Area damage vs Black enemies.	The Cats adopted a poor lost Wyvern from<br>Merc Storia to research Cat-Dragon fusion.<br>Massive Area damage vs Black enemies.	
120	The hero of Merc Storia joins the fight!<br>Can soothe the heart of savage beasts.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>A weak and monster-phobic young lad.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>Transformed into a Cat by his own experiments.<br>Area Attacks have 100% Freeze!
121	Joining the fight from Merc Storia!<br>Mystic girl in a jar, bought for 10 Gold.<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>Cat joins her in the jar for the big fight!<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>The girl in a jar bought a Cat for 10 Gold.<br>Might Critical Attack.
122	Una oficinista tímida con un gran ataque a media<br>distancia. Le mola soltarse el pelo en las vacaciones.<br>Ataca rápido y es eficaz contra enemigos rojos.	Pues lo que dice su nombre: la típica oficinista.<br>Pero... ¿qué pasa cuando sale del trabajo?<br>Ataca rápido y es eficaz contra enemigos rojos.	Se pasa el día escuchando insultos de clientes y jefes.<br>Pero al salir del trabajo, la historia cambia...<br>Eficaz contra enemigos rojos y puede repeler.
123	Dicen que también responden al alias «Miau Miau».<br>Son buenos el uno con el otro.<br>Pueden repeler a enemigos rojos.	Se ganaron el sobrenombre de «Sujetagatos»<br>cuando cambiaron la vaina por la lencería fina.<br>Pueden repeler a enemigos rojos.	Amigos gatunos con armadura de diosa jugueteando y saltando.<br>Causan oleadas en carreras de tres patas. Matacolosos,<br>pueden repeler a enemigos rojos.
124	La maldición del escudo legendario lo ha convertido<br>en una máquina de matar. Puede repeler<br>a enemigos rojos y negros. (Ataque de área).	Activa el modo infernal del escudo felino y lanza ataques<br>terribles sobre sus enemigos. Puede repeler<br>a enemigos rojos y negros. (Ataque de área).	El odio infernal ha impregnado por completo el escudo.<br>Sus hojas kármicas arrasan las filas enemigas.<br>Repele a enemigos rojos y negros. (Ataque de área).
