000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
369	崇拜著某晚見到的金髮劍士<br>首先存體力、揮舞竹劍<br>善於攻擊飄浮敵人	幻想著哪天可以被誰召喚的貓咪劍士<br>自認為沉著冷靜<br>善於攻擊飄浮敵人	等到天荒地老都沒被召喚<br>所以試著染黑自己的貓咪劍士<br>善於攻擊飄浮敵人、全妨害效果無效
370	隱藏著對堅強穩重少女專一心的貓咪<br>拿手菜是創意西式料理<br>偶爾會發出會心一擊	每天專精家事技能的貓咪<br>日日早晨必說"早安您好"！<br>偶爾會發出會心一擊	把專一思想投入平底鍋的貓咪<br>全力以赴表達專一<br>偶爾會打飛鋼鐵敵人並發出會心一擊
371	崇拜著某學園中優雅的美少女<br>學習著一名資優生該有的美妙舉止<br>有時候會打飛異星戰士	優雅完美的貓咪<br>正式上場很弱有時候會受傷<br>有時候會打飛異星戰士	
372	崇拜著紅眼銀色頭髮的少女<br>最近開始試著養小鳥<br>有時候會使紅色敵人動作變慢	長久以來認為自己的名字有著古老血脈<br>與歷史淵源。最新買了很多冬裝<br>有時候會使紅色敵人動作變慢	
373	從Fate/stay night [HF]來參戰！<br>受養父影響立志成為正義一方的少年<br>對上黑色敵人很耐打	從Fate/stay night [HF]來參戰！<br>偶然召喚Saber，捲入戰爭中<br>對上黑色敵人很耐打	
374	從Fate/stay night [HF]來參戰！<br>崇拜士郎的少女。在衛宮家幫忙家務<br>偶爾會發出會心一擊（範圍攻擊）	從Fate/stay night [HF]來參戰！<br>「如果我成為惡人，你會原諒我嗎?」<br>偶爾會發出會心一擊（範圍攻擊）	
375	抱著滿滿感恩的心發行的紀念貓咪<br>限定生產數９０００億枚<br>	抱著滿滿感恩的心發行的紀念貓咪中<br>3枚中就會出現1枚的稀有紀念幣<br>收集3枚可以交換一枚紀念幣貓	
376	NYASA在30年前開發的貓型探測器<br>傳送無效能力，善於攻擊異星戰士<br>等基本功能都有搭載的基本款	NYASA最新開發的貓型探測器<br>具有善於攻擊異星戰士的基本能力，還能<br>收看衛星電視及成人頻道，一天只要一千	國際宇宙組織NYASA製造的衛星。傳送無效<br>加了最底限的"善於攻擊異星戰士"機能後<br>至少可以找到站在對面月台或隔壁暗巷的你
377	400戰無敗的擊劍冠軍<br>因太強沒有挑戰者出現所以考慮換工作<br>必定能破壞護盾	遲遲無法融入於劍道的世界<br>留戀過去的輝煌經歷持續參賽<br>必定能破壞護盾	從運動員引退後轉投身觀光產業<br>最近終於開始被用來當作相約景點...<br>必定能破壞護盾
378	與深愛的人永別，以另個姿態出現的御靈<br>沒人知道送別的行列要前往何方(遠距範圍攻擊)<br>對上沒有屬性的敵人很耐打，必定能使其動作變慢	徬徨尋找遺失的愛的寡婦。仍然陷在<br>與愛人的回憶裡。對上沒有屬性的敵人很耐打<br>必定能使其動作變慢攻擊力下降(遠距範圍攻擊)	
379	讓人驚恐的名選手「市立體育館魔女」<br>靈巧地使用釘鞋把對方一舉KO<br>偶爾能使出會心一擊（遠距攻擊）	讓人驚恐的首席舞者貓「市立會館之花」<br>飛躍到高空後以足尖鞋突擊觀眾<br>偶爾能使出會心一擊（遠距攻擊）	有「印度咖哩的王子」之稱的人氣廚師<br>刺激感的香料一擊可讓鋼鐵敵人動作瞬間變慢<br>偶爾能使出會心一擊(遠距攻擊)
380	只相信自己力量的調皮小孩<br>殊不知自己身體裡沉睡著莫大力量<br>可以給予有屬性的敵人超大傷害(遠距範圍攻擊)	為了拯救夥伴可以不惜一切的高貴劍客<br>總是一馬當先勇往直前。波動傷害無效<br>可以給予有屬性的敵人超大傷害(遠距範圍攻擊)	
381	經由多人選拔而出的貓<br>為了帶給人們幸福而努力耕田中<br>打倒敵人的時候可以得到很多金錢	經由多人選拔而出的貓<br>聽信蕪菁會大賣的傳言而改種蕪菁<br>打倒敵人的時候可以得到很多金錢	
382	玻璃做的貓<br>認為人生就是要一撞定生死<br>可使沒有屬性的敵人動作變慢(一次攻擊)	強化後的玻璃貓<br>但還是一樣認為人生就是一撞定生死<br>可使沒有屬性的敵人動作變慢(一次攻擊)	更加強健身並釋放出永恆光輝的貓咪<br>人生珍惜那一瞬間的光輝閃耀。能打飛沒有<br>屬性的敵人並使動作變慢(一次攻擊)
383	主張「臣服於強者就是我們的家訓！」<br>而加入了貓咪軍團<br>(遠距範圍攻擊)	從貓咪軍團那裡拿到了<br>一個作為友好象徵的面具<br>其實有個國中二年級的女兒(遠距範圍攻擊)	
384	來自實況野球的新人物！<br>看似冷酷，實際上是很貼心的球隊經理<br>有時候會打飛紅色敵人	來自實況野球的新人物！<br>運動神經優秀還是合氣道高手<br>有時候會打飛紅色敵人	
385	來自實況野球的新人物！<br>對跑步很有自信的外野手<br>	來自實況野球的新人物！<br>口頭禪是説話最後加上「的啦」<br>	來自實況野球的新人物！<br>喜歡機器人動畫的程度跟棒球一樣<br>必定能發射波動(範圍攻擊)
386	來自實況野球的新人物！<br>散發母性慈愛的球隊經理<br>有時候會讓天使敵人的攻擊力下降	來自實況野球的新人物！<br>總是先替他人著想<br>有時候會讓天使敵人的攻擊力下降	
387	來自實況野球的新人物！<br>活潑充滿朝氣的球隊經理<br>對上異星戰士很耐打	來自實況野球的新人物！<br>強項是帶動選手們的幹勁<br>對上異星戰士很耐打	
388	來自實況野球的新人物！<br>緊追主角不放的球隊經理學妹<br>偶爾會打飛不死生物	來自實況野球的新人物！<br>她的愛過於沉重・・・<br>偶爾會打飛不死生物	
389	來自實況野球的新人物！<br>自由奔放活潑的球隊經理<br>偶爾會讓飄浮敵人瞬間動作停止	來自實況野球的新人物！<br>其實還蠻懂得察言觀色把握狀況的<br>偶爾會讓飄浮敵人瞬間動作停止	
390	來自實況野球的新人物！<br>料理手腕絕對ＮＧ<br>能給予異星戰士超大傷害(範圍攻擊)	來自實況野球的新人物！<br>美中不足的是過於信賴他人容易被騙<br>能給予異星戰士超大傷害(範圍攻擊)	來自實況野球的神秘英雄！<br>真實身份是個謎，不過我告訴你她就是早川蒼<br>能給予異星戰士超大傷害(遠距範圍攻擊)
391	來自實況野球的新人物！<br>男人婆又愛逞強的投手學妹<br>能給予天使敵人超大傷害(範圍攻擊)	來自實況野球的新人物！<br>超喜歡甜食尤其是布丁<br>能給予天使敵人超大傷害(範圍攻擊)	來自實況野球的神秘英雄！<br>胸前有橘集團的標誌<br>能給予天使敵人超大傷害(範圍攻擊)
392	來自實況野球的新人物！<br>接捕能力很高的捕手學妹<br>善於攻擊不死生物	來自實況野球的新人物！<br>老家是寺廟，喜歡吃金鍔餅<br>善於攻擊不死生物	來自實況野球的神秘英雄！<br>胸前有某寺廟的名字<br>善於攻擊不死生物(範圍攻擊)
393	來自實況野球的新人物！<br>對棒球一心一意，也獲得女子支持的外野手<br>能使飄浮和黑色敵人動作變慢(範圍攻擊)	來自實況野球的新人物！<br>其實很在乎自己似乎不夠女人味<br>能使飄浮和黑色敵人動作變慢(範圍攻擊)	來自實況野球的新人物！<br>起初很和害羞漸漸的瘋的跟什麼一樣<br>能使飄浮和黑色敵人動作變慢(範圍攻擊)
394	來自實況野球的新人物！<br>風度翩翩美男子，對人處事或運動都很優<br>善於攻擊紅色和天使敵人(遠距範圍攻擊)	來自實況野球的新人物！<br>說好去甲子園的約定仍舊保密著<br>善於攻擊紅色和天使敵人(遠距範圍攻擊)	來自實況野球的新人物！<br>以新變化球「暗黑星雲」締造了無數三振<br>善於攻擊紅色和天使敵人(遠距範圍攻擊)
395	來自實況野球的新人物！<br>守備穩定，出壘率高的游擊手<br>體力下降時攻擊力上升(範圍攻擊)	來自實況野球的新人物！<br>為了參加棒球隊謊稱自己是男學生<br>體力下降時攻擊力上升(範圍攻擊)	來自實況野球的神秘英雄！<br>我只偷偷告訴你其實他是小山雅(範圍攻擊)<br>體力下降時攻擊力上升，波動傷害無效。
396	被認為是龍類始祖的傳說古龍<br>以壓倒性的破壞力攻擊敵人<br>善於攻擊異星戰士和不死生物(遠距範圍攻擊)	把遠古之力發揮至最高點的古龍王<br>以壓倒性的破壞力攻擊敵人<br>善於攻擊異星戰士和不死生物(遠距範圍攻擊)	憑藉古龍石之力變化為真正姿態的古龍皇帝<br>釋放出光之一擊可將阻擋之人送上西天<br>善於攻擊異星戰士和不死生物(遠距範圍攻擊)
397	以代代相傳的退魔刀斬奸除惡的女國中生<br>偶爾會發出會心一擊，對上鋼鐵敵人很耐打<br>並且能使其動作變慢攻擊力下降	目標是兼顧一族使命與社團活動的女高中生<br>偶爾會發出會心一擊，對上鋼鐵敵人很耐打<br>並且能使其動作變慢攻擊力下降	
398			
399	懶得鳥你來來來參戰！<br>跟他搭話就會露出一副懶樣點頭回應你<br>對上飄浮敵人很耐打	懶得鳥你來來來參戰！<br>幹勁來時就會很浮誇的猛點頭回應你<br>對上飄浮敵人很耐打	
400	懶得鳥你來來來參戰！懶得鳥的可愛妹妹<br>特徵是霸氣回應和反應<br>偶爾會發出會心一擊	懶得鳥你來來來參戰！總很嚴肅的回你<br>但只是個單純的直白少女<br>偶爾會發出會心一擊	
401	來自宇宙盡頭的雷精靈<br>據説每個星球的第一道雷都是其帶來的<br>有時候會讓異星戰士動作停止	執掌著勢如劈月的迅雷<br>其狂暴的閃電能破壞護盾<br>對上異星戰士很耐打，必定能使其動作停止	照亮宇宙盡頭持有強大力量的迅雷精靈王<br>跨越宇宙的雷光擁有破壞護盾的力量<br>對上異星戰士很耐打，必定能使其動作停止
402	從福音戰士來參戰！<br>突然成為EVA駕駛員的內向少年<br>和父親之間有心結(範圍攻擊)	從福音戰士來參戰！<br>希望能透過成為EVA駕駛員<br>來獲得大家的認同(範圍攻擊)	從福音戰士來參戰！遇到真心好友後，決心<br>一切從新再來,因此決意再次駕駛EVA的少年<br>對上異星戰士與不死生物很耐打(範圍攻擊)
403	嚮往特務機關NERV最高司令和<br>副司令的貓咪，為執行<br>貓咪補完計畫不擇手段(範圍攻擊)	嚮往視察月面的最高司令和<br>副司令的貓咪，話雖少但互相信賴<br>到哪都一起行動(範圍攻擊)	
404	嚮往EVA而製造出的泛用長頸鹿型決戰兵器<br>由於在開發過程中脫逃所以只完成了頭部<br>死前有機會存活	被某高傲強勢的EVA駕駛員<br>給換掉了頭部的角色<br>繼續脫逃中。死前有機會存活	被某高傲強勢的EVA駕駛員<br>給換掉了頭部的角色繼續脫逃中<br>繼續脫逃中。死前有機會存活
405	從福音戰士來參戰！<br>充滿神秘感的奇妙少年<br>能夠對黑色敵人造成超大傷害	從福音戰士來參戰！<br>大家都以為他是EVA駕駛員的神秘少年<br>能夠對黑色敵人造成超大傷害	從福音戰士來參戰！<br>似乎早就知道真嗣這號人物・・・<br>能夠對黑色敵人造成超大傷害(範圍攻擊)
406	夢想成為EVA零號機駕駛員的貓咪<br>非常珍惜源堂貓送的眼鏡<br>對上天使敵人很耐打，可以給予其超大傷害	身著黑色作戰服，失去記憶的貓咪<br>除了命令以外什麼都不做<br>對上天使敵人很耐打，可以給予其超大傷害	
407	夢想成為EVA2號機駕駛員的貓咪<br>老是不聽話大吵大鬧<br>對上紅色敵人很耐打，可以給予其超大傷害	漸漸能與大家融洽相處的貓咪<br>因為怕燙，每次做菜要試嘗都很辛苦<br>對上紅色敵人很耐打，可以給予其超大傷害	
408	對戴眼鏡的謎之少女有憧憬的貓咪<br>現在最愛在說話時結尾加個「捏」<br>對上飄浮敵人很耐打，可以給予其超大傷害	嘗試用降落傘祕密入境的貓咪<br>雖搞錯著陸地點但似乎因有趣就不在意<br>對上飄浮敵人很耐打，可以給予其超大傷害	
409	從福音戰士來參戰！<br>情感不表露於外的沉默少女<br>有時候會讓天使敵人的攻擊力下降(範圍攻擊)	從福音戰士來參戰！<br>駕駛EVA使她感受到羈絆<br>有時候會讓天使敵人的攻擊力下降(範圍攻擊)	
410	從福音戰士來參戰！<br>自尊心極強的外向少女<br>善於攻擊紅色敵人(範圍攻擊)	從福音戰士來參戰！<br>開始認為跟他人一起生活也不是不好<br>善於攻擊紅色敵人(範圍攻擊)	從福音戰士來參戰！<br>反NERV組織WILLE的改2號機駕駛員<br>善於攻擊紅色敵人，有時候能打飛他們（範圍攻擊）
411	從福音戰士來參戰！<br>以降落傘突然出現的不明少女<br>善於攻擊飄浮敵人(範圍攻擊)	從福音戰士來參戰！<br>駕駛EVA比誰都快樂的謎之少女<br>善於攻擊飄浮敵人(範圍攻擊)	
412	從福音戰士來參戰！<br>作為泛用人型決戰兵器的試作機登場(範圍攻擊)<br>對上天使與飄浮敵人很耐打，並能抵消波動	從福音戰士來參戰！<br>過去曾在啟動實驗中暴走(範圍攻擊)<br>對上天使與飄浮敵人很耐打，並能抵消波動	
413	從福音戰士來參戰！<br>作為泛用人型決戰兵器的試用型投入實戰<br>善於攻擊異星戰士和不死生物(範圍攻擊)	從福音戰士來參戰！<br>當駕駛員生命受威脅時即會暴走<br>善於攻擊異星戰士和不死生物(範圍攻擊)	
414	從福音戰士來參戰！<br>為實戰而製造的制式型EVA<br>可以給予紅色敵人超大傷害(遠距範圍攻擊)	從福音戰士來參戰！<br>駕駛員說這才是真正的EVANGELION<br>可以給予紅色敵人超大傷害(遠距範圍攻擊)	從福音戰士來參戰！<br>代號777模式變為戰鬥特化獸化型態的改2號機<br>給紅敵超大傷害，體力下降時攻擊力上升(遠距範圍攻擊)
415	一個人什麼都不會的膽小鬼貓咪<br>被欺負時就會出現泛用貓型決戰兵器(範圍攻擊)<br>有時候打飛鋼鐵敵人和黑色敵人，並發射波動	一個人什麼都不會的好奇寶寶貓咪們<br>被欺負時就會出現泛用貓型決戰兵器(範圍攻擊)<br>有時候打飛鋼鐵敵人和黑色敵人，並發射波動	
416	擔任特務機關聯絡員的貓咪們<br>默契十足地攜手合作來支援作戰<br>必定能讓紅色敵人與不死生物動作變慢(範圍攻擊)	擔任特務機關指揮官的精英貓咪們<br>克服學生時代的阻礙並執行作戰<br>必定能讓紅色敵人與不死生物動作變慢(範圍攻擊)	
417	世界知名的移動式公衆浴場<br>為了找出世上所有的溫泉源頭行跡天涯(全方位攻擊)<br>善於攻擊不死生物，必定能使其瞬間動作停止	從意圖侵略地底的敵人手中守護和平的集團<br>操縱各具特色的機械來粉碎邪惡組織(全方位攻擊)<br>善於攻擊不死生物，必定能使其瞬間動作停止	來自地底要守護地面和平的正義集團<br>將爆發的岩漿與邪惡同時粉碎！(全方位攻擊)<br>善於攻擊不死生物，必定能使其瞬間動作停止
418	擁有超高人氣的國民偶像貓<br>因公司的方針而狂亂化<br>誠懇又激烈的鞠躬必定能會心一擊	世界知名的偶像貓<br>壓倒性的演出讓粉絲也捲入狂亂漩渦<br>誠懇又激烈的鞠躬必定能會心一擊	
419	從Pokopang來參戰！<br>住在波可森林的活潑兔子。<br>重視朋友，正義感強烈。	從Pokopang來參戰！<br>有著要讓森林的動物朋友們<br>都可以很快樂的使命感。	
420	從Pokopang來參戰！<br>想法奇特愛收集東西的綿羊<br>對上紅色敵人很耐打	從Pokopang來參戰！<br>總是把收集的東西往澎澎羊毛內藏<br>對上紅色敵人很耐打	
421	從Pokopang來參戰！<br>特別喜歡和平花朵和魚兒的熊<br>有時能使黑色敵人攻擊力下降	從Pokopang來參戰！<br>有著龐大的身軀興趣卻是泡花草茶<br>有時能使黑色敵人攻擊力下降	
422			
423			
424			
425			
426	從古代研究所租來的太古兵器<br>以貓咪的操縱技術來看<br>似乎沒有完全發揮到他的性能(範圍攻擊)	擅自把租來的太古兵器強化<br>從鋼鐵身軀中揮擊出的鐵拳<br>可將敵人跟租借期限打得粉碎(範圍攻擊)	把從古代研究所買來的太古兵器強化到極點<br>以古代種的實戰記錄為底並絞盡了貓咪們的腦汁<br>結果做得挺像回事的。善於攻擊古代種(範圍攻擊)
427	為討伐魔王由貓咪主導集結成的勇者們<br>偶爾會發出會心一擊，必定使紅色黑色<br>和飄浮敵人的攻擊力下降(遠距範圍攻擊)	由命運領導著的貓咪與11人左右的勇者們<br>偶爾會發出會心一擊，必定使紅色黑色<br>和飄浮敵人的攻擊力下降(遠距範圍攻擊)	戰勝苦難和犧牲被引導向天空的貓咪與勇者們<br>偶爾會發出會心一擊，能使紅、黑、飄浮敵人與<br>古代種的攻擊力下降(遠距範圍攻擊)
428	受"消滅後開始暗中活動的神秘少年"影響<br>言行舉止也開始怪怪的了...<br>必定能發射波動	為了要更像"消滅後開始暗中活動的神秘<br>少年"一點，使用引體向上機拉長身了一點<br>必定能發射波動	
429	受"擅長網絡的優秀程式設計師"影響<br>在SNS上發佈些有用的資訊<br>必定能讓鋼鐵以外的敵人攻擊力下降(遠距攻擊)	操縱電腦和機器的專家！<br>但不久前SNS賬號遭駭客入侵<br>必定能讓鋼鐵以外的敵人攻擊力下降(遠距範圍攻擊)	
430	搭載著超夯角色蛋黃哥的機器貓<br>要賣肌不如來賣萌吧…<br>對上飄浮與鋼鐵敵人很耐打，必定能使敵人動作停止	搭載著超夯角色蛋黃哥的機器貓<br>這麼多隻賣萌呀！母湯喔～<br>對上飄浮與鋼鐵敵人很耐打，必定能使敵人動作停止	
431	魔界偵探事務所「闇SCOOP」的王牌偵探<br>在調查第666樁案件時因故成了這副醜陋的模樣<br>有時候使異星戰士與飄浮敵人動作停止並發射波動	以被封印的魔眼之力解開詛咒的幹練偵探<br>但代價就是被捲入組織的陰謀裡・・・<br>有時候使異星戰士與不死生物動作停止並發射波動	與組織抗爭的始末，釋放了真正力量的名偵探<br>在黑暗中尋找一線光明，走向最後的決戰<br>必定能使不死生物動作停止並發射波動
432	賤萌熊來參戰！<br>賤萌地激烈擺動身體的爆笑白熊<br>偶爾會打飛異星戰士	賤萌熊來參戰！<br>拜活躍於黑暗世界的殺手熊為師之後自己也遭染黑了<br>偶爾會打飛異星戰士	
433	受到"賤萌地激烈擺動身體的爆笑白熊"的影響<br>就學會了這種激烈扭動的貓咪<br>偶爾會打飛黑色敵人	解放野性本能後激烈扭動的貓咪<br>敏捷的出拳可把敵人打得滿地找牙呢！<br>偶爾會打飛黑色敵人	
434	從城與龍來參戰！<br>穿上貓咪裝備來轉換心情的劍士<br>對上不死生物很耐打	從城與龍來參戰！<br>穿上黑色貓咪裝備勤奮工作的劍士<br>對上不死生物很耐打	
435	瓦爾基麗貓的妹妹<br>在世界各國進行間諜活動的天界絕密女特工<br>有時候能破壞護盾(範圍攻擊)	降臨台灣的天界絕密女特工，身穿旗袍出任務<br>但沒有案子來所以每天拍照當網美。因此網路<br>上小有人氣。有時候能破壞護盾(範圍攻擊)	
436	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>波動傷害無效（遠距範圍攻擊）	是貓還是妖還是流浪魔法師？還是沒人知道<br>完全是個謎樣般的角色<br>波動傷害無效（遠距範圍攻擊）
437	終於降臨來到貓咪軍團<br>打個噴嚏就可以打飛鋼鐵以外的敵人<br>並降下憤怒之雷(全方位攻擊)	散發出神級光輝的神<br>打個噴嚏就可以打飛鋼鐵以外的敵人<br>並降下憤怒之雷(全方位攻擊)	
438	在海灘小店打工中的熱血女孩<br>粗暴的態度吸引了一批鐵粉男客<br>善於攻擊不死生物和飄浮敵人(範圍攻擊)	在海灘小店大賺一筆的熱血女孩<br>有時候會忽然想來一場艷陽般的熱戀<br>善於攻擊不死生物和飄浮敵人(範圍攻擊)	
439	生於混沌，支配時間的女神<br>其時之神器「命運之鐘」能控制一切因果<br>能使有屬性的敵人瞬間動作停止(遠距範圍攻擊)	生於混沌，支配無限時間的女神<br>其無盡神器「命運之神鐘」能超越一切因果<br>能使有屬性的敵人瞬間動作停止(遠距範圍攻擊)	
440	從魔法少女小圓來參戰！<br>愛吃乳酪，是麻美的好同伴！<br>必定能使異星戰士和不死生物瞬間攻擊力下降	從魔法少女小圓來參戰！<br>出現在小圓們面前的新魔法少女<br>必定能使異星戰士和不死生物攻擊力下降	
441	追求無法貫徹的正義而徬徨的另一隻達太貓。<br>給予沒有屬性的敵人超大傷害，體力減少<br>攻擊力就會大幅上升(遠距範圍攻擊)	為了正義不惜任何犧牲的冷酷劍客<br>給予沒有屬性的敵人超大傷害<br>體力減少攻擊力就會大幅上升(遠距範圍攻擊)	
442	休育嬰假中的浪人貓<br>每天都在公園旅行。對上沒有屬性<br>的敵人很耐打，能打飛並使其動作停止	代替愛流浪的老公扛了8個兼職工作，<br>很努力工作賺錢的貓咪。對上沒有屬性<br>的敵人很耐打，能打飛並使其動作停止	留妻在家自己帶著孩子旅行回來的貓。<br>看著孩子成長很喜悅，但自己頭腦卻沒成長<br>對上無屬性敵人很耐打，能打飛並使其動作停止
443	在地底戰隊中負責"挖洞"<br>以最新型的鑽頭"挖"到世界最深處<br>必定能讓無屬性敵人攻擊力下降(遠距攻擊)	在地底戰隊中負責"挖洞"<br>用天線尋找著維京海盜寶藏<br>必定能讓無屬性敵人攻擊力下降(遠距攻擊)	
444	在地底戰隊中是個超強的"釘樁"角色<br>在任何地方都擅自的堅固釘樁(全方位攻擊)<br>對上不死生物很耐打，必定能打飛他們	在地底戰隊中是個堅固耐用的"釘樁"角色<br>專釘臭屁又跩的人(全方位攻擊)<br>對上不死生物很耐打，必定能打飛他們	
445	在地底戰隊中負責"剪"跟"煮"<br>食材快剪手！給予紅色敵人超大傷害，<br>體力下降時攻擊力上升必定可以死前存活(範圍攻擊)	在地底戰隊中負責"剪"跟"煮"<br>導入電子調理器後效率UP!給予紅色敵人超大傷害<br>體力下降時攻擊力上升必定可以死前存活(範圍攻擊)	
446	在地底戰隊中是個多功能的"鏟挖"角色<br>只能攻擊鋼鐵敵人但有時候會發出會心<br>一擊，打倒敵人的時候可以得到很多金錢	在地底戰隊中是個多才多藝的"鏟挖"角色<br>只能攻擊鋼鐵敵人但有時候會發出會心<br>一擊，打倒敵人的時候可以得到很多金錢	
447	在地底戰隊中負責"割鋸"<br>偶爾割些有的沒的...<br>對上異星戰士很耐打，並能給予其超大傷害	在地底戰隊中負責"割鋸"<br>載的行李是媽媽寄來的菜跟米<br>對上異星戰士很耐打，並能給予其超大傷害	
448	遭異次元武器「貓咪日輪刀」詛咒<br>投身無盡戰爭的天下無雙劍豪<br>對上黑色敵人很耐打，並能給予極度傷害	使用異次元武器「貓咪日輪刀」詛咒之力<br>天下無雙的揮戰決鬥將敵人斬除<br>對上黑色敵人很耐打，並能給予極度傷害	
449	引領迷失的電腦學園們的高潔學生會長<br>從異次元中揮槍，走向神級之路<br>給予紅色與飄浮敵人極度傷害(遠距範圍攻擊)	從四次元學園轉來的暗地學生會長<br>自願受懲罰的男學生多數...<br>給予紅色與飄浮敵人極度傷害(遠距範圍攻擊)	
450	將次空間與天空城一體化的傳說龍族<br>釋放出壓倒性破壞力的超壓縮能量<br>對上紅色與飄浮敵人超耐打(範圍攻擊)	將次空間與黑暗城一體化的傳說龍族<br>超過次元的驚人破壞力，足以毀滅現世<br>對上紅色與飄浮敵人超耐打(範圍攻擊)	
451	為報父仇而從異世界現身的浪子貓<br>吹著龍直笛尋找著謎之軍團"HEIKE"<br>對上天使敵人很耐打能給予極度傷害(範圍攻擊)	從異世界現身，能使無敵機器人都服從他<br>使用他的金剛大槌可將軍團"HEIKE"一擊殲滅<br>對上天使敵人很耐打能給予極度傷害(範圍攻擊)	
452	生存在遙遠古代的貓咪祖先<br>健壯的四肢跟帶有尾鰭的尾巴是魅力所在<br>對上鋼鐵敵人與古代種很耐打	突然一看正在屋簷睡午覺的貓<br>最喜歡布坐墊跟紙箱等等等・・・<br>對上鋼鐵敵人與古代種很耐打	
453			
454			
455	活躍於宇宙之間，來自異次元的刑警<br>用那美幻光線槍將宇宙敵人一網打盡!(範圍攻擊)<br>可使紅色黑色天使敵人動作停止並發射波動	乘坐宇宙戰艦，打擊壞傢伙的性感刑警<br>用一鎗致命的魔幻光線爆破整個星球(範圍攻擊)<br>可使紅色黑色天使敵人動作停止並發射波動	
456	從Fate/stay night [HF]來參戰！<br>每日進出衛宮家，負責幫忙家務<br>對上黑色敵人異星戰士不死生物很耐打(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>真心掛念著在「聖杯戰爭」受傷的士郎<br>對上黑色敵人異星戰士不死生物很耐打(範圍攻擊)	
457	崇拜立志成為正義一方的少年的貓咪<br>想要召喚英靈，卻一直宅在家裡<br>善於攻擊黑色敵人	至今仍未召喚過英靈的貓咪<br>回到初心，為巡更守夜而試著外出了<br>善於攻擊黑色敵人	
458	崇拜著也會使用劍的弓兵<br>將士郎貓視為敵人但真意不明<br>波動傷害無效	做有弓兵模樣開始拉弓迎戰的貓咪<br>過份將士郎貓視為敵人結果夜夜難眠<br>波動傷害無效(遠距攻擊)	
459	崇拜華麗使用鞭鎖的成熟女性的貓咪<br>因為眼罩擋到有點看不太到前方<br>有時候會讓天使敵人動作停止	入手傳說生物的貓咪<br>因為眼罩和飛馬的頭部擋到幾乎看不到前方<br>有時候會讓天使敵人動作停止	
460	崇拜著吃完超辛辣麻婆豆腐的神父與<br>崇拜守望戰況英靈的貓咪(範圍攻擊)<br>有時候使黑色敵人攻擊力下降、體力下降時攻擊力上升	對於守望戰況感到已膩的貓咪與<br>持續挑戰吃超辛辣麻婆豆腐的貓咪(範圍攻擊)<br>有時候使不死生物攻擊力下降、體力下降時攻擊力上升	
461	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>如果進化的話…	是貓還是妖沒人知道<br>完全是個謎樣般的角色<br>波動傷害無效（全方位攻擊）	
462	在宇宙的盡頭全身崩壞後，受到用三秒膠幫他<br>接上身體的"貓咪"這個生命體吸引因而參戰。<br>必定能讓沒有屬性的敵人動作停止(全方位攻擊)	在宇宙盡頭失去原本能力的謎之生命體<br>"貓咪"將他烤漆的看似很強但其實性能沒有改變<br>必定能讓沒有屬性的敵人動作停止(全方位攻擊)	
463	來自古代奉獻研究未知水晶的神殿型兵器<br>不可控制異次元，引導走向世界末日(全方位攻擊)<br>能抵消波動，對上不死生物很耐打並能給予極度傷害	可解析「四次元水晶」的政府極秘研究機關<br>遇上無法控制的力量時會自我毀滅(全方位攻擊)<br>能抵消波動，對上不死生物很耐打並能給予極度傷害	
464	貓咪軍團用87萬在9487網上買下了<br>狗仔軍團賣的土偶戰士。Ps.免運費<br>對上沒有屬性的敵人很耐打(範圍攻擊)	專家調查後表示，這是古老以前貓咪軍團<br>手工並且高價賣給狗仔軍團的埴輪陶藝品<br>對上沒有屬性的敵人很耐打(範圍攻擊)	
465	聽到麻吉貓要帶自己去觀光<br>就放棄侵略拿起相機的貓咪<br>必定能使紅色敵人攻擊力下降	帶著貓咪在臺灣趴趴走<br>成功讓貓咪愛上寶島的麻吉貓<br>必定能使紅色敵人攻擊力下降	
466			
467			
468			
469			
470			
471			
472			
473			
474			
475			
476			
477			
478	據說是從宇宙盡頭來的奇幻精靈<br>每個星球萬物的起源都是其帶來的。對上異星戰士<br>超耐打,有時候能使其攻擊力下降並破壞護盾	能看清宇宙命運的夢幻精靈。自由操控<br>構成世界的元素且力量可以破壞護盾,對上<br>異星戰士超耐打,必定能使其攻擊力下降	
479			
480			
481	迷戀強大的異次元能量的高超科學者<br>有可以破壞生命體昇華為水晶的殘酷技術<br>對上黑色敵人與異星戰士超耐打(範圍攻擊)	有水晶般壓倒性力量上身的高超科學者<br>自身也無法阻止對力量的渴望與破壞的衝動<br>給予黑色敵人與異星戰士極度傷害(範圍攻擊)	
