000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
085	Il leggendario Vars Cavalcadraghi. (Danni ad area)<br>Ha cavalcato oltre mille draghi.<br>Può respingere e rallentare nemici neri.	Il leggendario Vars Cavalcadraghi. (Danni ad area)<br>Vars adesso scatena tutta la sua potenza.<br>Può respingere e rallentare nemici neri.	Cavaliere leggendario che ha imparato a cavalcare<br>nei modi più feroci per infliggere attacchi ad area.<br>Può respingere e rallentare nemici neri.
086	L'antico Gatto dragone Kamukura. (Danni ad area)<br>Pare che riesca a muovere i cieli.<br>Potrebbe respingere e rallentare rossi.	L'antico Gatto dragone Kamukura. (Danni ad area)<br>Ha raggiunto la forma reale dopo aver raccolto 7 sfere.<br>Potrebbe respingere e rallentare rossi.	Un antico Gatto Dragone che ha risvegliato<br>il potere nascosto di 7 sfere mistiche.<br>Potrebbe respingere e rallentare rossi.
087	Un'antica arma anti Gatti dragoni.<br>Spara una grandine di proiettili mortali.<br>Respinta ad area contro nemici rossi al 100%.	Un'antica arma anti Gatti dragoni.<br>Raiden va subito su di giri.<br>Respinta ad area contro nemici rossi al 100%.	Andare su di giri ha scatenato l'enorme potenza di Raiden.<br>Niente può resistere allo scoppio del suo sacro raggio.<br>Efficace contro / respinta ad area contro rossi al 101%.
088	In giapponese è Nawatobi.<br>Questo Gatto è economico da produrre, ed è divertente.<br>Può eseguire danni critici.	Saltare con la corda è più divertente in due.<br>Sempre economico ed efficace, con il doppio del divertimento.<br>Può eseguire danni critici.	Sempre veloci, economici e deliziosi!<br>Descrizione valida per i Gatti e per i noodle.<br>Forte difesa e possibilità di colpi critici.
089			
090			
091	Il Gatto base.<br>La versione matta ottiene velocità.<br>Ma le sue gambe sono corte...	Punto a favore: definizione muscolare.<br>La versione matta ottiene velocità.<br>E un po' di definizione in più?	L'acconciatura lo ha reso un po'<br>folle, ma se la fa andare bene.<br>La versione pazza ottiene velocità.
092	Forte. Salute alta. (Danni ad area)<br>Abbastanza forte da spostare un sassolino.<br>La versione matta garantisce velocità.	Difesa rigida. Ora con angoli. (Danni ad area)<br>Abbastanza forte da spostare una piccola roccia.<br>La versione matta garantisce velocità.	Grazie all'elasticità sopporta i pestaggi.<br>La versione pazza garantisce altra<br>Ottima™ difesa. (Danni ad area)
093	Pazzo per le battaglie.<br>Efficace contro i nemici rossi.<br>Il potenziale d'attacco delle unità matte aumenta.	Aspirante eroe.<br>Efficace contro i nemici rossi.<br>Il potenziale d'attacco delle unità matte aumenta.	Un cavaliere carismatico assetato di<br>battaglie, potente contro nemici rossi.<br>Pazzo per difesa e attacco migliori.
094	Capace di un attacco a distanza molto potente.<br>La versione matta garantisce attacco a ondata, ma<br>aumenta il tempo di produzione.	Va fiero delle sue bellissime gambe.<br>La versione matta garantisce attacco a ondata, ma<br>aumenta il tempo di produzione.	La follia ha aumentato la bellezza<br>delle sue gambe e la potenza del suo attacco<br>a distanza ancor di più. Però è meno popolare.
095	Pensa e agisce velocemente e sa usare la testa.<br>Corre come il vento!<br>La versione matta garantisce danni ad area	Pensa e agisce velocemente e sa usare la testa.<br>Agita la testa ai concerti rock!<br>La versione matta garantisce danni ad area	Un personaggio eccellente e agile.<br>Sebbene sia pazzo, la sua criniera in qualche<br>modo gli garantisce velocità. (Danni ad area)
096	Ha la salute di un pulcino.<br>Potenza d'attacco eccezionale. (Danni ad area)<br>Il raggio d'attacco delle unità matte aumenta.	È riuscito a superare la gravità.<br>Se la cava contro nemici multipli. (Danni ad area)<br>Il raggio d'attacco delle unità matte aumenta.	Questo oggetto volante pazzo non mostra pietà,<br>sparando raggi di luce per distruggere intere città<br>da lontano. Più potenza! Più raggio! Muahaha!
097	Efficace contro i nemici rossi.<br>La versione matta diminuisce il tempo di produzione.<br>Può eseguire danni critici.	Riuscì a diventare un'orca carnivora.<br>Efficace contro i nemici rossi.<br>Può eseguire danni critici.	Si dice che i demoni vivano su questa folle<br>isola. Efficace contro rossi, possibili danni critici.<br>La follia gli fornisce extra attacco e difesa!
098	Capace di attaccare nemici da lontano.<br>Attacco a distanza con un singolo colpo potente.<br>La versione matta supporta l'alta definizione.	È arrivato qui da un mondo fantastico.<br>Attacco a distanza con un singolo colpo potente.<br>La versione matta supporta l'alta definizione.	Perfino la sua follia non gli impedisce di<br>unirsi alle élite! Il suo attacco e la potenza<br>superiore sono ineguagliabili. Almeno così dice.
099	Dotato di potenza d'attacco estrema<br>e una quantità di salute assurda (danni ad area).<br>La versione matta garantisce attacchi a ondata.	Dotato di potenza d'attacco estrema<br>e difesa incredibile.<br>La versione matta garantisce attacchi a ondata.	Una volta pazzo, nessuno può resistere alla<br>sua difesa o attacco divini, né superarne la velocità.<br>I suoi attacchi a ondata avvengono più frequentemente!
100	I suoi pugni sono messaggi<br>con cui trasmette le emozioni nel suo cuore.<br>Efficace contro i nemici rossi (danni ad area).	Risolte le questioni di cuore,<br>si dedica allo sport: qui nessuno può fermarla.<br>Efficace contro i nemici rossi (danni ad area).	Ha dedicato la sua vita allo sport. Con una forza<br>fisica senza pari ha vinto 22 medaglie<br>d'oro in distruzione di nemici rossi (danni ad area).
101			
102			
103	Gatto superstar e idolo musicale.<br>Non crederai ai tuoi occhi<br>quando si evolve al livello 10.	Leggendario per l'abilità di stupire<br>chiunque lo guardi.<br>Il suo aspetto è sbalorditivo! (Attacco ad area)	I suoi incredibili colori ne portano<br>lo splendore a livelli mitologici.<br>Il suo aspetto è sbalorditivo! (Attacco ad area)
104	Parente lontano del Pescegatto.<br>Un bravo attaccante a distanza.<br>Efficace contro i nemici rossi.	Cugino lontano del Gatto koi e Gatto alto.<br>Chissà se è alto o koi.<br>Efficace contro i nemici rossi.	L'amour... passione o illusione?<br>So solo che amo nuotare.<br>Efficace contro i rossi (danni ad area)
105	Usa con zelo strane stregonerie con cui controlla<br>il suo bastone per grandi danni da lontano.<br>Efficace contro i nemici neri/rossi (danni ad area).	Usa con zelo strane stregonerie.<br>Non è brava con gli uomini, arriva agli insulti.<br>Efficace contro i nemici neri/rossi (danni ad area).	Trattala come una smidollata e saprai cos'è il vero dolore.<br>Le tue scuse faranno in modo che il bastone ti colpisca<br>più forte. Efficace contro nemici rossi/neri (danni ad area).
106	Una ragazza frivola a bordo del suo maiale-mech "Tonton".<br>Spara a bruciapelo raggi potenti (danni ad area).<br>Danni ridotti dai fluttuanti, sopravvive una volta.	Finisce con apprezzare chiunque sia gentile con lei.<br>Il suo ostacolo amoroso è di solo 3 cm (danni ad area).<br>Danni ridotti dai fluttuanti, sopravvive una volta.	Se ogni ragazzo carino è il tuo tipo, hai davvero un tipo?<br>Sempre a bordo del suo fidato Boarborg (danni ad area).<br>Danni ridotti dai fluttuanti, sopravvive una volta.
107	Una bellezza magica alimentata dal suo bastone.<br>Rilascia dei fasci di luce (danni ad area).<br>Potrebbe immobilizzare i nemici fluttuanti.	Non sorride così spesso (danni ad area).<br>Ma di fronte ai gatti... è un'altra storia.<br>Potrebbe bloccare i nemici fluttuanti.	Cosa puoi fare per lei che il suo<br>Gatto preferito non faccia già? Ritorna tra 100 anni,<br>dolcezza. Potrebbe bloccare fluttuanti (danni ad area).
108	Vivono felici in una sfera di plastica.<br>A che serve il mondo esterno?<br>(Non prendeteli come esempio, bambini...)	Una fortezza casalinga tanto resistente quanto il budget<br>di 0,00$ permette. Forte contro vari attacchi,<br>tranne l'umidità... non se la cava bene in quel caso.	
109	Riporta a galla quei ricordi perduti.<br>Si comporta come uno scudo con la sua ottima salute.<br>Può anche infliggere danni (danni ad area).	Ora che ha conquistato l'uomo dei suoi sogni,<br>il controllo sulla casa è diventato indiscutibile.<br>Grande resistenza e buoni danni (danni ad area).	Non soddisfatta di controllare la casa, ora domina<br>una vasta landa di creature. L'autorità la scherma<br>bene e le permette di evitare la morte una volta (att. area).
110	Joining the fight from Merc Storia! Kind-<br>hearted girl who will do anything for others.<br>Small chance to Slow Red enemies.	Joining the fight from Merc Storia!<br>Her fan club grows daily across the land.<br>Small chance to Slow Red enemies.	
111	Joining the fight from Merc Storia!<br>A gentle and naive young lady.<br>Tough vs Black enemies.	Joining the fight from Merc Storia!<br>Don't be fooled, her tail is incredibly powerful!<br>Tough vs Black enemies.	
112	Joining the fight from Merc Storia!<br>Left her homeland to learn about the world.<br>Small chance to Knockback Red.	Joining the fight from Merc Storia!<br>Has a kind face but a sadistic nature.<br>Small chance to Knockback Red.	
113	Joining the fight from Merc Storia!<br>A gentle young lad who loves stargazing.<br>Small chance to Freeze Red.	Joining the fight from Merc Storia!<br>Serene but slightly absentminded youth.<br>Small chance to Freeze Red.	
114	Joining the fight from Merc Storia!<br>A genteel youth with a reckless nature.<br>Small chance to Slow Black enemies.	Joining the fight from Merc Storia! Enjoys<br>drinking under the moon, but he's a light-weight.<br>Small chance to Slow Black enemies.	
115	Joining the fight from Merc Storia!<br>Loyal to her master in the Sky Country.<br>Small chance to Knockback Black.	Joining the fight from Merc Storia! Known<br>among the people for devotion to justice!<br>Small chance to Knockback Black.	
116	Joining the fight from Merc Storia! A lass from<br>the Sky Country, horned due to her mixed blood.<br>Might Freeze Black enemies.	Joining the fight from Merc Storia! Taking grand-<br>dad's teachings to heart, she travels the world.<br>Might Freeze Black enemies.	
117	Joining the fight from Merc Storia! Normally<br>shy, but if you get her talking about guns...<br>Area attacks might Knockback Black.	Joining the fight from Merc Storia!<br>Gun maintenance is her number one hobby.<br>Area attacks might Knockback Black.	
118	Joining the fight from Merc Storia! Her strong<br>emotions cause shocks to people nearby.<br>Area attacks might Slow Black.	Joining the fight from Merc Storia!<br>Monsters flee from her presence.<br>Area attacks might Slow Black.	
119	Joining the fight from Merc Storia! Delivering<br>powerful blows from above that cause<br>Massive Area damage vs Black enemies.	The Cats adopted a poor lost Wyvern from<br>Merc Storia to research Cat-Dragon fusion.<br>Massive Area damage vs Black enemies.	
120	The hero of Merc Storia joins the fight!<br>Can soothe the heart of savage beasts.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>A weak and monster-phobic young lad.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>Transformed into a Cat by his own experiments.<br>Area Attacks have 100% Freeze!
121	Joining the fight from Merc Storia!<br>Mystic girl in a jar, bought for 10 Gold.<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>Cat joins her in the jar for the big fight!<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>The girl in a jar bought a Cat for 10 Gold.<br>Might Critical Attack.
122	Una timida impiegata e un'attaccante media.<br>Le piace cambiare personalità in vacanza!<br>Attacca velocemente ed è efficace contro i nemici rossi.	Come da titolo: una tipica impiegata.<br>Ma cosa succede dopo il lavoro...?<br>Attacca velocemente ed è efficace contro i nemici rossi.	Si fa insultare dai clienti e dai capi tutto il giorno.<br>Ma quando stacca, le cose cambiano...<br>Efficace contro i nemici rossi, può respingere.
123	Si fanno chiamare anche "Miccelli".<br>Si comportano bene tra di loro.<br>Potrebbero respingere i nemici rossi.	Si sono guadagnati l'appellativo di "Reggifratè" quando<br>hanno scambiato il loro baccello con della seta francese.<br>Potrebbero respingere i nemici rossi.	Amiconi che saltano e si divertono nell'armatura di una dea.<br>I migliori nelle gare di corsa a tre gambe. Ammazzagiganti,<br>possono respingere i nemici rossi.
124	La maledizione dello Scudo Gatto leggendario<br>lo ha reso una macchina assassina (danni ad area).<br>Potrebbe respingere nemici neri e rossi.	Modalità inferno dello Scudo Gatto attivata!<br>Attacchi (ad area) infernali fanno a pezzi i nemici!<br>Potrebbe respingere nemici neri e rossi.	L'odio infernale ha riempito completamente lo Scudo.<br>Le lame karmiche fanno fuori tutti i nemici!<br>Attacchi ad area respingono nemici neri e rossi.
125	Un maestro stratega dal potere incredibile<br>maledetto dalla Spada Gatto leggendario.<br>Attacchi ad area danneggiano solo nemici neri/alieni.	Modalità strategica della Spada Gatto attivata!<br>Un potere distruttivo ancora maggiore!<br>Attacchi ad area danneggiano solo nemici neri/alieni.	La scia di distruzione della Spada Gatto<br>è inarrestabile. Non ci sarà alcuna pietà.<br>Attacchi ad area danneggiano solo nemici neri/alieni.
126	Attacca i nemici con velocità meccanica.<br>Non si sa come si muova... ne avete idea?<br>Potrebbe rallentare i metallici.	Usa abilità tecniche per aggredire i nemici.<br>Non male nemmeno come ventriloquo.<br>Potrebbe rallentare i metallici.	Questo gatto si avvicina con uno sguardo folle.<br>Sembra quasi che sia la bambola a controllarlo...<br>Potrebbe rallentare i metallici.
127	Gli piacciono i bei petali.<br>Non si dimentica mai di innaffiare.<br>Potrebbe bloccare i nemici neri.	Monopolizza il ventilatore dopo un bagno caldo.<br>Lo stile di attacco riflette il suo aggressivo egoismo.<br>Potrebbe bloccare i nemici neri.	Lo stress può farti venire voglia di esplodere, che il<br>tuo lavoro sia trasportare bombe tutto il giorno o no.<br>Attacchi ad area con immobilità 100% su nemici neri
128	Attacca da lontano e nutre solo odio per questo mondo.<br>Lavora bene con il Gatto Gambe sexy.<br>Spacca tutto con i suoi pugni vendicativi (danni ad area).	L'odio non risolve nulla. La risata invece...<br>Attenzione! Battute pessime e attacchi a distanza!<br>Si combina bene con qualsiasi cosa alta (danni ad area).	La sua missione: portare più sorrisi nel mondo.<br>Gambe sexy si lamenta di essere colpito<br>in faccia, però (attacchi ad area a distanza).
129	Si è rotolato nella polvere d'oro per un look lussuoso...<br>...ma rimane sempre il solito Gatto.<br>Scambialo per XP per far salire di livello altri Gatti!	Si è rotolato nella polvere d'oro per un look lussuoso...<br>Dice che cercava un look senza maniche<br>ma si è solo scordato di dipingersi le braccia.	Si è rotolato nella polvere d'oro per un look lussuoso...<br>Aspirando a non rovinare mai il proprio splendore,<br>è diventato immune dagli attacchi a ondata.
130	Ha giurato fedeltà a chi l'ha sconfitto! Nessuno gliel'ha<br>chiesto. Si è unito lo stesso all'armata felina.<br>Potrebbe respingere i nemici. (Danni ad area)	Una giovane illusa che finalmente ha preso una<br>creatura simile a un Gatto. Il padre insegna.<br>Potrebbe respingere i nemici. (Danni ad area)	Ora sente i brividi di una prima cotta.<br>Non è che lo fa per te! B-baka!<br>Potrebbe respingere i nemici. (Danni ad area)
131	Una tipica sorellina che sogna la fama.<br>Se solo avesse il coraggio di cantare!<br>Ammira Moneko. (Può eseguire danni critici)	È fatta per esibirsi, malgrado la sua fobia da palco.<br>Vuole ancora cantare ma la voce non<br>esce sul palco. (Può eseguire danni critici)	
