000			Stories of Legend
024-014-002	Eggs of Chaos Lv. 3
024-014-003	Eggs of Chaos Lv. 4
024-014-004	Eggs of Chaos Lv. 5
024-014-005	Eggs of Chaos Lv. 6
024-014-006	Eggs of Chaos Lv. 7
024-014-007	Eggs of Chaos Lv. 8
024-014-008	Eggs of Chaos Lv. 9
024-014-009	Eggs of Chaos Lv. 10
024-014-010	Eggs of Chaos Lv. 11
024-014-011	Eggs of Chaos Lv. 12
024-014-012	Eggs of Chaos Lv. 13
024-014-013	Eggs of Chaos Lv. 14
024-014-014	Eggs of Chaos Lv. 15
024-014-015	Eggs of Chaos Lv. 16
024-014-016	Eggs of Chaos Lv. 17
024-014-017	Eggs of Chaos Lv. 18
024-014-018	Eggs of Chaos Lv. 19
024-014-019	Eggs of Chaos Lv. 20
024-015		June Gauntlet
024-015-000	Forbidden Lv.1
024-015-001	Forbidden Lv.2
024-015-002	Forbidden Lv.3
024-015-003	Forbidden Lv.4
024-015-004	Forbidden Lv.5
024-015-005	Forbidden Lv.6
024-015-006	Forbidden Lv.7
024-015-007	Forbidden Lv.8
024-015-008	Forbidden Lv.9
024-015-009	Forbidden Lv.10
024-016		June Gauntlet II
024-016-000	Forbidden II Lv.11
024-016-001	Forbidden II Lv.12
024-016-002	Forbidden II Lv.13
024-016-003	Forbidden II Lv.14
024-016-004	Forbidden II Lv.15
024-016-005	Forbidden II Lv.16
024-016-006	Forbidden II Lv.17
024-016-007	Forbidden II Lv.18
024-016-008	Forbidden II Lv.19
024-016-009	Forbidden II Lv.Max
024-017		July Gauntlet
024-017-000	Summer Lv.1
024-017-001	Summer Lv.2
024-017-002	Summer Lv.3
024-017-003	Summer Lv.4
024-017-004	Summer Lv.5
024-017-005	Summer Lv.6
024-017-006	Summer Lv.7
024-017-007	Summer Lv.8
024-017-008	Summer Lv.9
024-017-009	Summer Lv.10
024-018		July Gauntlet II
024-018-000	Not Summer Lv.11
024-018-001	Not Summer Lv.12
024-018-002	Not Summer Lv.13
024-018-003	Not Summer Lv.14
024-018-004	Not Summer Lv.15
024-018-005	Not Summer Lv.16
024-018-006	Not Summer Lv.17
024-018-007	Not Summer Lv.18
024-018-008	Not Summer Lv.19
024-018-009	Not Summer Lv.MAX
024-019		Summer Break Cats
024-019-000	Start of Summer
024-019-001	Sundown Chorus
024-019-002	Light Overflowing
024-019-003	Hidden Treehouse
024-019-004	Call to Dinner
024-019-005	Citronella Scent
024-019-006	Late Nite Special
024-019-007	Grip Your Net
024-019-008	Sea Floor Treasure
024-019-009	Bug Spray Mist
024-019-010	Schoolyard Dance
024-019-011	An Alluring Lady
024-019-012	Suntanned Boy
024-019-013	Music in the Distance
024-019-014	A Lost Friend
024-019-015	Waking at Noon
024-019-016	A Secret Cove
024-019-017	Hints of Autumn
024-019-018	Final Fireworks
024-019-019	Last-Minute Homework
024-020		Baron Seal Strikes
024-020-000	Red Alert 1
024-020-001	Red Alert 2
024-020-002	Red Alert 3
024-020-003	Red Alert 4
024-020-004	Red Alert 5
024-020-005	Red Alert 6
024-020-006	Red Alert 7
024-020-007	Red Alert 8
024-020-008	Red Alert 9
024-020-009	Red Alert 10
024-020-010	Red Alert 11
024-020-011	Red Alert 12
024-020-012	Red Alert 13
024-020-013	Red Alert 14
024-020-014	Red Alert 15
024-020-015	Red Alert 16
024-020-016	Red Alert 17
024-020-017	Red Alert 18
024-020-018	Red Alert 19
024-020-019	Red Alert MAX
024-021		August Gauntlet
024-021-000	Houseguests Lv.1
024-021-001	Houseguests Lv.2
024-021-002	Houseguests Lv.3
024-021-003	Houseguests Lv.4
024-021-004	Houseguests Lv.5
024-021-005	Houseguests Lv.6
024-021-006	Houseguests Lv.7
024-021-007	Houseguests Lv.8
024-021-008	Houseguests Lv.9
024-021-009	Houseguests Lv.10
024-022		August Gauntlet II
024-022-000	Strangers Lv.11
024-022-001	Strangers Lv.12
024-022-002	Strangers Lv.13
024-022-003	Strangers Lv.14
024-022-004	Strangers Lv.15
024-022-005	Strangers Lv.16
024-022-006	Strangers Lv.17
024-022-007	Strangers Lv.18
024-022-008	Strangers Lv.19
024-022-009	Strangers Lv.MAX
024-023		September Gauntlet
024-023-000	About Town Lv.1
024-023-001	About Town Lv.2
024-023-002	About Town Lv.3
024-023-003	About Town Lv.4
024-023-004	About Town Lv.5
024-023-005	About Town Lv.6
024-023-006	About Town Lv.7
024-023-007	About Town Lv.8
024-023-008	About Town Lv.9
024-023-009	About Town Lv.10
024-024		September Gauntlet II
024-024-000	In the City Lv.11
024-024-001	In the City Lv.12
024-024-002	In the City Lv.13
024-024-003	In the City Lv.14
024-024-004	In the City Lv.15
024-024-005	In the City Lv.16
024-024-006	In the City Lv.17
024-024-007	In the City Lv.18
024-024-008	In the City Lv.19
024-024-009	In the City Lv.MAX
024-025		October Gauntlet
024-025-000	Sports Day Lv.1
024-025-001	Sports Day Lv.2
024-025-002	Sports Day Lv.3
024-025-003	Sports Day Lv.4
024-025-004	Sports Day Lv.5
024-025-005	Sports Day Lv.6
024-025-006	Sports Day Lv.7
024-025-007	Sports Day Lv.8
024-025-008	Sports Day Lv.9
024-025-009	Sports Day Lv.10
024-026		October Gauntlet II
024-026-000	Sports Night Lv.11
024-026-001	Sports Night Lv.12
024-026-002	Sports Night Lv.13
024-026-003	Sports Night Lv.14
024-026-004	Sports Night Lv.15
024-026-005	Sports Night Lv.16
024-026-006	Sports Night Lv.17
024-026-007	Sports Night Lv.18
024-026-008	Sports Night Lv.19
024-026-009	Sports Night Lv.MAX
024-027		Le'Grim Strikes
024-027-000	Rampage Lv1
024-027-001	Rampage Lv2
024-027-002	Rampage Lv3
024-027-003	Rampage Lv4
024-027-004	Rampage Lv5
024-027-005	Rampage Lv6
024-027-006	Rampage Lv7
024-027-007	Rampage Lv8
024-027-008	Rampage Lv9
024-027-009	Rampage Lv10
024-027-010	Rampage Lv11
024-027-011	Rampage Lv12
024-027-012	Rampage Lv13
024-027-013	Rampage Lv14
024-027-014	Rampage Lv15
024-027-015	Rampage Lv16
024-027-016	Rampage Lv17
024-027-017	Rampage Lv18
024-027-018	Rampage Lv19
024-027-019	Rampage Lv.MAX
024-028		November Gauntlet
024-028-000	Labour Lv.1
024-028-001	Labour Lv.2
024-028-002	Labour Lv.3
024-028-003	Labour Lv.4
024-028-004	Labour Lv.5
024-028-005	Labour Lv.6
024-028-006	Labour Lv.7
024-028-007	Labour Lv.8
024-028-008	Labour Lv.9
024-028-009	Labour Lv.10
024-029		November Gauntlet II
024-029-000	Revolution Lv.11
024-029-001	Revolution Lv.12
024-029-002	Revolution Lv.13
024-029-003	Revolution Lv.14
024-029-004	Revolution Lv.15
024-029-005	Revolution Lv.16
024-029-006	Revolution Lv.17
024-029-007	Revolution Lv.18
024-029-008	Revolution Lv.19
024-029-009	Revolution Lv.MAX
024-030		December Gauntlet
024-030-000	Jingle Cat Lv.1
024-030-001	Jingle Cat Lv.2
024-030-002	Jingle Cat Lv.3
024-030-003	Jingle Cat Lv.4
024-030-004	Jingle Cat Lv.5
024-030-005	Jingle Cat Lv.6
024-030-006	Jingle Cat Lv.7
024-030-007	Jingle Cat Lv.8
024-030-008	Jingle Cat Lv.9
024-030-009	Jingle Cat Lv.10
024-031		December Gauntlet II
024-031-000	In Space Lv.11
024-031-001	In Space Lv.12
024-031-002	In Space Lv.13
024-031-003	In Space Lv.14
024-031-004	In Space Lv.15
024-031-005	In Space Lv.16
024-031-006	In Space Lv.17
024-031-007	In Space Lv.18
024-031-008	In Space Lv.19
024-031-009	In Space Lv.MAX
024-032		January Gauntlet
024-032-000	New Year? Lv.1
024-032-001	New Year? Lv.2
024-032-002	New Year? Lv.3
024-032-003	New Year? Lv.4
024-032-004	New Year? Lv.5
024-032-005	New Year? Lv.6
024-032-006	New Year? Lv.7
024-032-007	New Year? Lv.8
024-032-008	New Year? Lv.9
024-032-009	New Year? Lv.10
024-033		January Gauntlet II
024-033-000	Another Year Lv.11
024-033-001	Another Year Lv.12
024-033-002	Another Year Lv.13
024-033-003	Another Year Lv.14
024-033-004	Another Year Lv.15
024-033-005	Another Year Lv.16
024-033-006	Another Year Lv.17
024-033-007	Another Year Lv.18
024-033-008	Another Year Lv.19
024-033-009	Another Year Lv.MAX
024-034		Mega Menace
024-034-000	On Mighty Wings Lv1
024-034-001	On Mighty Wings Lv2
024-034-002	On Mighty Wings Lv3
024-034-003	On Mighty Wings Lv4
024-034-004	On Mighty Wings Lv5
024-034-005	On Mighty Wings Lv6
024-034-006	On Mighty Wings Lv7
024-034-007	On Mighty Wings Lv8
024-034-008	On Mighty Wings Lv9
024-034-009	On Mighty Wings Lv10
024-034-010	On Mighty Wings Lv11
024-034-011	On Mighty Wings Lv12
024-034-012	On Mighty Wings Lv13
024-034-013	On Mighty Wings Lv14
024-034-014	On Mighty Wings Lv15
024-034-015	On Mighty Wings Lv16
024-034-016	On Mighty Wings Lv17
024-034-017	On Mighty Wings Lv18
024-034-018	On Mighty Wings Lv19
024-034-019	On Mighty Wings Lv.MAX
024-035		Horrorpotamus
024-035-000	Cosmic Juggernaut Lv.1
024-035-001	Cosmic Juggernaut Lv.2
024-035-002	Cosmic Juggernaut Lv.3
024-035-003	Cosmic Juggernaut Lv.4
024-035-004	Cosmic Juggernaut Lv.5
024-035-005	Cosmic Juggernaut Lv.6
024-035-006	Cosmic Juggernaut Lv.7
024-035-007	Cosmic Juggernaut Lv.8
024-035-008	Cosmic Juggernaut Lv.9
024-035-009	Cosmic Juggernaut Lv.10
024-035-010	Cosmic Juggernaut Lv.11
024-035-011	Cosmic Juggernaut Lv.12
024-035-012	Cosmic Juggernaut Lv.13
024-035-013	Cosmic Juggernaut Lv.14
024-035-014	Cosmic Juggernaut Lv.15
024-035-015	Cosmic Juggernaut Lv.16
024-035-016	Cosmic Juggernaut Lv.17
024-035-017	Cosmic Juggernaut Lv.18
024-035-018	Cosmic Juggernaut Lv.19
024-035-019	Cosmic Juggernaut Lv.MAX
024-036		A Colossal New Year!
024-036-000	Year of the Tiger Lv.1
024-036-001	Year of the Tiger Lv.2
024-036-002	Year of the Tiger Lv.3
024-036-003	Year of the Tiger Lv.4
024-036-004	Year of the Tiger Lv.5
024-036-005	Year of the Tiger Lv.6
024-036-006	Year of the Tiger Lv.7
024-036-007	Year of the Tiger Lv.8
024-036-008	Year of the Tiger Lv.9
024-036-009	Year of the Tiger Lv.10
024-037		Divine Archangel Strikes
024-037-000	Blessing Lv.1
024-037-001	Blessing Lv.2
024-037-002	Blessing Lv.3
024-037-003	Blessing Lv.4
024-037-004	Blessing Lv.5
024-037-005	Blessing Lv.6
024-037-006	Blessing Lv.7
024-037-007	Blessing Lv.8
024-037-008	Blessing Lv.9
024-037-009	Blessing Lv.10
024-037-010	Blessing Lv.11
024-037-011	Blessing Lv.12
024-037-012	Blessing Lv.13
024-037-013	Blessing Lv.14
024-037-014	Blessing Lv.15
024-037-015	Blessing Lv.16
024-037-016	Blessing Lv.17
024-037-017	Blessing Lv.18
024-037-018	Blessing Lv.19
024-037-019	Blessing Lv.MAX
024-038		Big Peng Z Strikes
024-038-000	Wandering Lv.1
024-038-001	Wandering Lv.2
024-038-002	Wandering Lv.3
024-038-003	Wandering Lv.4
024-038-004	Wandering Lv.5
024-038-005	Wandering Lv.6
024-038-006	Wandering Lv.7
024-038-007	Wandering Lv.8
024-038-008	Wandering Lv.9
024-038-009	Wandering Lv.10
024-038-010	Wandering Lv.11
024-038-011	Wandering Lv.12
024-038-012	Wandering Lv.13
024-038-013	Wandering Lv.14
024-038-014	Wandering Lv.15
024-038-015	Wandering Lv.16
024-038-016	Wandering Lv.17
024-038-017	Wandering Lv.18
024-038-018	Wandering Lv.19
024-038-019	Wandering Lv.MAX
024-039		February Gauntlet
024-039-000	Happiness Lv.1
024-039-001	Happiness Lv.2
024-039-002	Happiness Lv.3
024-039-003	Happiness Lv.4
024-039-004	Happiness Lv.5
024-039-005	Happiness Lv.6
024-039-006	Happiness Lv.7
024-039-007	Happiness Lv.8
024-039-008	Happiness Lv.9
024-039-009	Happiness Lv.10
024-040		February Gauntlet II
024-040-000	Confusion Lv.1
024-040-001	Confusion Lv.2
024-040-002	Confusion Lv.3
024-040-003	Confusion Lv.4
024-040-004	Confusion Lv.5
024-040-005	Confusion Lv.6
024-040-006	Confusion Lv.7
024-040-007	Confusion Lv.8
024-040-008	Confusion Lv.9
024-040-009	Confusion Lv.MAX
024-042		Horde of Cats
024-042-000	Bloodthirsty Lv.1
024-042-001	Bloodthirsty Lv.2
024-042-002	Bloodthirsty Lv.3
024-042-003	Bloodthirsty Lv.4
024-042-004	Bloodthirsty Lv.5
024-042-005	Bloodthirsty Lv.6
024-042-006	Bloodthirsty Lv.7
024-042-007	Bloodthirsty Lv.8
024-042-008	Bloodthirsty Lv.9
024-042-009	Bloodthirsty Lv.MAX
024-043		March Gauntlet
024-043-000	Be Bare Lv.1
024-043-001	Be Bare Lv.2
024-043-002	Be Bare Lv.3
024-043-003	Be Bare Lv.4
024-043-004	Be Bare Lv.5
024-043-005	Be Bare Lv.6
024-043-006	Be Bare Lv.7
024-043-007	Be Bare Lv.8
024-043-008	Be Bare Lv.9
024-043-009	Be Bare Lv.10
024-044		March Gauntlet II
024-044-000	Be Back Lv.11
024-044-001	Be Back Lv.12
024-044-002	Be Back Lv.13
024-044-003	Be Back Lv.14
024-044-004	Be Back Lv.15
024-044-005	Be Back Lv.16
024-044-006	Be Back Lv.17
024-044-007	Be Back Lv.18
024-044-008	Be Back Lv.19
024-044-009	Be Back Lv.MAX
024-045		Attack of the Lonely Hearts
024-045-000	Pity Gift Lv.1
024-045-001	Pity Gift Lv.2
024-045-002	Pity Gift Lv.3
024-045-003	Pity Gift Lv.4
024-045-004	Pity Gift Lv.5
024-045-005	Pity Gift Lv.6
024-045-006	Pity Gift Lv.7
024-045-007	Pity Gift Lv.8
024-045-008	Pity Gift Lv.9
024-045-009	Pity Gift Lv.10
024-045-010	Pity Gift Lv.11
024-045-011	Pity Gift Lv.12
024-045-012	Pity Gift Lv.13
024-045-013	Pity Gift Lv.14
024-045-014	Pity Gift Lv.15
024-045-015	Pity Gift Lv.16
024-045-016	Pity Gift Lv.17
024-045-017	Pity Gift Lv.18
024-045-018	Pity Gift Lv.19
024-045-019	Pity Gift Lv.MAX
024-046		April Gauntlet
024-046-000	Teacher!  Lv.1
024-046-001	Teacher!  Lv.2
024-046-002	Teacher!  Lv.3
024-046-003	Teacher!  Lv.4
024-046-004	Teacher!  Lv.5
024-046-005	Teacher!  Lv.6
024-046-006	Teacher!  Lv.7
024-046-007	Teacher!  Lv.8
024-046-008	Teacher!  Lv.9
024-046-009	Teacher!  Lv.10
024-047		April Gauntlet II
024-047-000	Sensei!  Lv.11
024-047-001	Sensei!  Lv.12
024-047-002	Sensei!  Lv.13
024-047-003	Sensei!  Lv.14
024-047-004	Sensei!  Lv.15
024-047-005	Sensei!  Lv.16
024-047-006	Sensei!  Lv.17
024-047-007	Sensei!  Lv.18
024-047-008	Sensei!  Lv.19
024-047-009	Sensei!  Lv.MAX
024-048		Season 1: School Days
024-048-000	Desk of Destiny
024-048-001	Seated Next to Your Crush
024-048-002	The Dropped Eraser
024-048-003	Sharing Textbooks
024-048-004	Copied Homework
024-048-005	Furtive Whispers
024-048-006	Classroom Daydream
024-048-007	Dodgeball Dodger
024-048-008	Race to the Cafeteria
024-048-009	Studying with Her
024-048-010	Reforming Comment
024-048-011	Unstudied Topics
024-048-012	Cheater Handsigns
024-048-013	Pop Quiz Pain
024-048-014	Barely Passing
024-048-015	Textbook Free
024-048-016	Cleaning with Her
024-048-017	Always on my Mind
024-048-018	Cram Session Failure
024-048-019	God Willing Grades
024-049		Monthly Event All-Stars  Grateful Gathering
024-049-000	Grateful XP Lv.1
024-049-001	Grateful XP Lv.2
024-049-002	Grateful XP Lv.3
024-049-003	Grateful XP Lv.4
024-049-004	Grateful XP Lv.5
024-049-005	Grateful XP Lv.6
024-049-006	Grateful XP Lv.7
024-049-007	Grateful XP Lv.8
024-049-008	Grateful XP Lv.9
024-049-009	Grateful XP Lv.MAX
024-050		May Gauntlet
024-050-000	Sickness Lv.1
024-050-001	Sickness Lv.2
024-050-002	Sickness Lv.3
024-050-003	Sickness Lv.4
024-050-004	Sickness Lv.5
024-050-005	Sickness Lv.6
024-050-006	Sickness Lv.7
024-050-007	Sickness Lv.8
024-050-008	Sickness Lv.9
024-050-009	Sickness Lv.10
024-051		May Gauntlet II
024-051-000	Again Lv.11
024-051-001	Again Lv.12
024-051-002	Again Lv.13
024-051-003	Again Lv.14
024-051-004	Again Lv.15
024-051-005	Again Lv.16
024-051-006	Again Lv.17
024-051-007	Again Lv.18
024-051-008	Again Lv.19
024-051-009	Again Lv.MAX
024-052		#01 The Ghost Chapel
024-052-000	Haunted by the Groom
024-052-001	The Biting Priest
024-052-002	Transparent Attendant
024-052-003	A Drowned-Out Speech
024-052-004	Cursed Choir
024-052-005	Vegetarian Zombie
024-052-006	Self-Playing Organ
024-052-007	Poltergeist Gift Exchange
024-052-008	Holy Water from the Tap
024-052-009	Laid to Friendly Rest
024-053		Duel Stages Challenge
024-053-000	Duel on the Prarie (Vanguard)
024-053-001	Duel on the Prarie (Elite)
024-053-002	Duel on the Prarie (Commander)
024-053-003	Duel at Sunset (Vanguard)
024-053-004	Duel at Sunset (Elite)
024-053-005	Duel at Sunset (Commander)
024-053-006	Duel Under the Stars (Vanguard)
024-053-007	Duel Under the Stars (Elite)
024-053-008	Duel Under the Stars (Commander)
024-053-009	Duel on the Dunes (Vanguard)
024-053-010	Duel on the Dunes (Elite)
024-053-011	Duel on the Dunes (Commander)
024-053-012	Duel at the Lava Fields (Vanguard)
024-053-013	Duel at the Lava Fields (Elite)
024-053-014	Duel at the Lava Fields (Commander)
024-053-015	Duel Under the Sea (Vanguard)
024-053-016	Duel Under the Sea (Elite)
024-053-017	Duel Under the Sea (Commander)
024-054		Tag Arena Challenge
024-054-000	Rookie Quarterfinals
024-054-001	Rookie Semifinals
024-054-002	Rookie Finals
024-054-003	Beginner Quarterfinals
024-054-004	Beginner Semifinals
024-054-005	Beginner Finals
024-054-006	Adept Quarterfinals
024-054-007	Adept Semifinals
024-054-008	Adept Finals
024-054-009	Pro Quarterfinals
024-054-010	Pro Semifinals
024-054-011	Pro Finals
024-054-012	Expert Quarterfinals
024-054-013	Expert Semifinals
024-054-014	Expert Finals
024-054-015	Master Quarterfinals
024-054-016	Master Semifinals
024-054-017	Master Finals
024-055		Island of Hidden Treasure
024-055-000	Crimson Dawn
024-055-001	Cheerful Dawn
024-055-002	Ebony Dawn
024-055-003	Holy Dawn
024-055-004	Azure Dawn
024-055-005	Rotten Dawn
024-055-006	Adamantine Dawn
024-055-007	Crimson Apex
024-055-008	Cheerful Apex
024-055-009	Ebony Apex
024-055-010	Holy Apex
024-055-011	Azure Apex
024-055-012	Rotten Apex
024-055-013	Adamantine Apex
024-055-014	Crimson Refuge
024-055-015	Cheerful Refuge
024-055-016	Ebony Refuge
024-055-017	Holy Refuge
024-055-018	Azure Refuge
024-055-019	Rotten Refuge
024-055-020	Adamantine Refuge

025			Enigma Stages
025-000		Aitum Fields
025-000-000	Trench Warfare (Insane)
025-001		Vitamin Valley
025-001-000	The Precipice (Insane)
025-002		Ticket Hunter
025-002-000	Beastly Roost (Deadly)
025-003		Shack of Spirit
025-003-000	An Hour's Training (Insane)
025-004		Cave of Spirit
025-004-000	A Month's Training (Deadly)
025-005		Labyrinth of Spirit
025-005-000	A Year's Training (Deadly)
025-006		Cymophane Cave
025-006-000	10 Meters Deep (Deadly)
025-007		Vitamin Volcano
025-007-000	Lake of Lava (Insane)
025-008		Ticket Hunter G
025-008-000	Monster's Nest (Deadly)
025-009		Red Cradle
025-009-000	Cradle Shrine (Deadly)
025-010		Red Summit
025-010-000	Summit Shrine (Merciless)
025-011		Red Frontier
025-011-000	Frontier Shrine (Merciless)
025-012		Sky Cradle
025-012-000	Cradle Shrine (Deadly)
025-013		Sky Summit
025-013-000	Summit Shrine (Merciless)
025-014		Sky Frontier
025-014-000	Frontier Shrine (Merciless)
025-015		Black Cradle
025-015-000	Cradle Shrine (Deadly)
025-016		Black Summit
025-016-000	Summit Shrine (Merciless)
025-017		Black Frontier
025-017-000	Frontier Shrine (Merciless)
025-018		Holy Cradle
025-018-000	Cradle Shrine (Deadly)
025-019		Holy Summit
025-019-000	Summit Shrine (Merciless)
025-020		Holy Frontier
025-020-000	Frontier Shrine (Merciless)
025-021		Cosmic Cradle
025-021-000	Cradle Shrine (Deadly)
025-022		Cosmic Summit
025-022-000	Summit Shrine (Merciless)
025-023		Cosmic Frontier
025-023-000	Frontier Shrine (Merciless)
025-024		Necro Cradle
025-024-000	Cradle Shrine (Deadly)
025-025		Necro Summit
025-025-000	Summit Shrine (Merciless)
025-026		Necro Frontier
025-026-000	Frontier Shrine (Merciless)
025-027		Steel Cradle
025-027-000	Cradle Shrine (Deadly)
025-028		Steel Summit
025-028-000	Summit Shrine (Merciless)
025-029		Steel Frontier
025-029-000	Frontier Shrine (Merciless)
025-030		Rundown Hideout
025-030-000	Afternoon Bug Hunt
025-031		Stylish Hideout
025-031-000	Evening Bug Hunt
025-032		Perfect Hideout
025-032-000	Midnight Bug Hunt
025-051		Rundown Hideout
025-051-000	Afternoon Bug Hunt
025-052		Rundown Hideout
025-052-000	Afternoon Bug Hunt
025-053		Rundown Hideout
025-053-000	Afternoon Bug Hunt
025-054		Stylish Hideout
025-054-000	Evening Bug Hunt
025-055		Stylish Hideout
025-055-000	Evening Bug Hunt
025-056		Stylish Hideout
025-056-000	Evening Bug Hunt
025-057		Perfect Hideout
025-057-000	Midnight Bug Hunt
025-058		Perfect Hideout
025-058-000	Midnight Bug Hunt
025-059		Perfect Hideout
025-059-000	Midnight Bug Hunt
025-060		Hunter's Map I
025-060-000	Purple Stone Forest 1
025-060-001	Red Stone Forest 1
025-061		Hunter's Map II
025-061-000	Purple Stone Forest 2
025-061-001	Red Stone Forest 2
025-061-002	Blue Stone Desert 2
025-061-003	Green Stone Desert 2
025-062		Hunter's Map III
025-062-000	Purple Stone Forest 3
025-062-001	Blue Stone Desert 3
025-062-002	Green Stone Desert 3
025-062-003	Red Stone Forest 3
025-062-004	Yellow Stone Volcano 3

027			Collab Gauntlet Stages
027-000		Messier's Assault
027-000-000	Land of Dreams Lv1
027-000-001	Land of Dreams Lv2
027-000-002	Land of Dreams Lv3
027-000-003	Land of Dreams Lv4
027-000-004	Land of Dreams Lv5
027-000-005	Land of Dreams Lv6
027-000-006	Land of Dreams Lv7
027-000-007	Land of Dreams Lv8
027-000-008	Land of Dreams Lv9
027-000-009	Land of Dreams Lv10
027-000-010	Land of Dreams Lv11
027-000-011	Land of Dreams Lv12
027-000-012	Land of Dreams Lv13
027-000-013	Land of Dreams Lv14
027-000-014	Land of Dreams Lv15
027-000-015	Land of Dreams Lv16
027-000-016	Land of Dreams Lv17
027-000-017	Land of Dreams Lv18
027-000-018	Land of Dreams Lv19
027-000-019	Land of Dreams Lv20
027-002		The Devils Strike!
027-002-000	Nether Reaches Lv.1
027-002-001	Nether Reaches Lv.2
027-002-002	Nether Reaches Lv.3
027-002-003	Nether Reaches Lv.4
027-002-004	Nether Reaches Lv.5
027-002-005	Nether Reaches Lv.6
027-002-006	Nether Reaches Lv.7
027-002-007	Nether Reaches Lv.8
027-002-008	Nether Reaches Lv.9
027-002-009	Nether Reaches Lv.10
027-002-010	Nether Reaches Lv.11
027-002-011	Nether Reaches Lv.12
027-002-012	Nether Reaches Lv.13
027-002-013	Nether Reaches Lv.14
027-002-014	Nether Reaches Lv.15
027-002-015	Nether Reaches Lv.16
027-002-016	Nether Reaches Lv.17
027-002-017	Nether Reaches Lv.18
027-002-018	Nether Reaches Lv.19
027-002-019	Nether Reaches Lv.20
027-003		The Angels Strike!
027-003-000	Heaven's Gate Lv.1
027-003-001	Heaven's Gate Lv.2
027-003-002	Heaven's Gate Lv.3
027-003-003	Heaven's Gate Lv.4
027-003-004	Heaven's Gate Lv.5
027-003-005	Heaven's Gate Lv.6
027-003-006	Heaven's Gate Lv.7
027-003-007	Heaven's Gate Lv.8
027-003-008	Heaven's Gate Lv.9
027-003-009	Heaven's Gate Lv.10
027-003-010	Heaven's Gate Lv.11
027-003-011	Heaven's Gate Lv.12
027-003-012	Heaven's Gate Lv.13
027-003-013	Heaven's Gate Lv.14
027-003-014	Heaven's Gate Lv.15
027-003-015	Heaven's Gate Lv.16
027-003-016	Heaven's Gate Lv.17
027-003-017	Heaven's Gate Lv.18
027-003-018	Heaven's Gate Lv.19
027-003-019	Heaven's Gate Lv.20
027-004		Trials of Merc Storia!
027-004-000	Healer & Co. Lv.1
027-004-001	Healer & Co. Lv.2
027-004-002	Healer & Co. Lv.3
027-004-003	Healer & Co. Lv.4
027-004-004	Healer & Co. Lv.5
027-004-005	Healer & Co. Lv.6
027-004-006	Healer & Co. Lv.7
027-004-007	Healer & Co. Lv.8
027-004-008	Healer & Co. Lv.9
027-004-009	Healer & Co. Lv.10
027-004-010	Healer & Co. Lv.11
027-004-011	Healer & Co. Lv.12
027-004-012	Healer & Co. Lv.13
027-004-013	Healer & Co. Lv.14
027-004-014	Healer & Co. Lv.15
027-004-015	Healer & Co. Lv.16
027-004-016	Healer & Co. Lv.17
027-004-017	Healer & Co. Lv.18
027-004-018	Healer & Co. Lv.19
027-004-019	Healer & Co. Lv.20
027-005		Electric Diva Strikes!
027-005-000	1st Song
027-005-001	2nd Song
027-005-002	3rd Song
027-005-003	4th Song
027-005-004	5th Song
027-005-005	6th Song
027-005-006	7th Song
027-005-007	8th Song
027-005-008	9th Song
027-005-009	10th Song
027-005-010	11th Song
027-005-011	12th Song
027-005-012	13th Song
027-005-013	14th Song
027-005-014	15th Song
027-005-015	16th Song
027-005-016	17th Song
027-005-017	18th Song
027-005-018	19th Song
027-005-019	Last Song
027-007		Heralds of The End
027-007-000	WARNING Lv.1
027-007-001	WARNING Lv.2
027-007-002	WARNING Lv.3
027-007-003	WARNING Lv.4
027-007-004	WARNING Lv.5
027-007-005	WARNING Lv.6
027-007-006	WARNING Lv.7
027-007-007	WARNING Lv.8
027-007-008	WARNING Lv.9
027-007-009	WARNING Lv.10
027-007-010	WARNING Lv.11
027-007-011	WARNING Lv.12
027-007-012	WARNING Lv.13
027-007-013	WARNING Lv.14
027-007-014	WARNING Lv.15
027-007-015	WARNING Lv.16
027-007-016	WARNING Lv.17
027-007-017	WARNING Lv.18
027-007-018	WARNING Lv.19
027-007-019	WARNING Lv.20
027-008		Test of Might: Ranma 1/2
027-008-000	Showdown! : Part 1
027-008-001	Showdown! : Part 2
027-008-002	Showdown! : Part 3
027-008-003	Showdown! : Part 4
027-008-004	Showdown! : Part 5
027-008-005	Showdown! : Part 6
027-008-006	Showdown! : Part 7
027-008-007	Showdown! : Part 8
027-008-008	Showdown! : Part 9
027-008-009	Showdown! : Part 10
027-008-010	Showdown! : Part 11
027-008-011	Showdown! : Part 12
027-008-012	Showdown! : Part 13
027-008-013	Showdown! : Part 14
027-008-014	Showdown! : Part 15
027-008-015	Showdown! : Part 16
027-008-016	Showdown! : Part 17
027-008-017	Showdown! : Part 18
027-008-018	Showdown! : Part 19
027-008-019	Showdown! : Part 20
027-009		Walpurgisnacht
027-009-000	Stagebuilding Witch: Cycle 1
027-009-001	Stagebuilding Witch: Cycle 2
027-009-002	Stagebuilding Witch: Cycle 3
027-009-003	Stagebuilding Witch: Cycle 4
027-009-004	Stagebuilding Witch: Cycle 5
027-009-005	Stagebuilding Witch: Cycle 6
027-009-006	Stagebuilding Witch: Cycle 7
027-009-007	Stagebuilding Witch: Cycle 8
027-009-008	Stagebuilding Witch: Cycle 9
