000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
073	Die Verkörperung von Nobunagas Groll aus den Leben<br>vieler (und einer Katze).<br>Friert schwarze Feinde garantiert ein. Flächenangriff.	Der Geist der Katze dreht voll auf.<br>Der Groll wird stärker.<br>Friert schwarze Feinde garantiert ein. Flächenangriff.	Führt eine Armee rachsüchtiger Geister an, mit der er seinen<br>Traum verwirklichen will, Himmel und Hölle zu vereinen.<br>Friert schwarze Feinde garantiert ein. Flächenangriff.
074	Die Katzen versuchen, die Fischkatze niedlicher zu gestalten.<br>Diese hat das Geschenk deiner Träume.<br>Bonuszahlung für besiegte Feinde.	Die Katzen versuchen, die Fischkatze leckerer zu gestalten.<br>Hat für ihr Opfer an Gastlichkeit gewonnen.<br>Bonuszahlung für besiegte Feinde.	Diese Kampfeinheit wurde umgestaltet,<br>um Naschkatzen zu entzücken.<br>Bonuszahlung für besiegte Feinde. Flächenangriff.
075	Ein Galaxis-Girl, das den Wind manipulieren kann. Ihre<br>Vakuumkanone kann Feinde aus der Entfernung wegräumen.<br>Heftiger Schaden gegen fliegende Feinde. Flächenangriff.	Dieses merkwürdige Mädchen hört das Flüstern des Windes.<br>Der Wind sagt ihr, dass er Schmerzen hat ...<br>Heftiger Schaden gegen fliegende Feinde. Flächenangriff.	Kauft leider oft spontan die neusten Mechas.<br>Die Neo-Vakuumkanone kann weit schießen.<br>Heftiger Schaden gegen fliegende Feinde. Flächenangriff.
076	Ein Galaxis-Girl, das die Elektrizität manipulieren kann.<br>Schlägt aus der Entfernung mit Blitzen zu.<br>Fügt roten Feinden heftigen Schaden zu. Flächenangriff.	Macht sich Sorgen über ihre chronischen Nackenschmerzen.<br>Schaut in ihrer Freizeit gern Zeichentrickfilme.<br>Fügt roten Feinden heftigen Schaden zu. Flächenangriff.	Wenn man einen göttlichen Körper hat, ist es schwierig,<br>passende Kleidung zu finden.<br>Fügt roten Feinden heftigen Schaden zu. Flächenangriff.
077	Eine starke defensive Katze, die einem Handy nachempfunden<br>wurde. Einem Handy, ernsthaft? Tanzt besser als die<br>Panzer-Katze. Resistent gegen eiserne Angriffe (Flächenang.).	Die Katze hat sich mit einem Marker umgefärbt.<br>Jetzt ist sie auch wasserfest.<br>Panzer-Katze. Resistent gegen eiserne Angriffe (Flächenang.).	Ein widerstandsfähiger Schild in stilvollen saisonalen<br>Farben. Besteht für erhöhte Resistenz gegen eiserne Feinde<br>aus einem brandneuen Material (Flächenangriff).
078	Verlässt sein Shuttle, um anzugreifen.<br>Geringe Gesundheit. Abwehrbrecher.<br>Haudrauf möglich.	Wurde kürzlich vom Leutnant befördert.<br>Geringe Gesundheit. Abwehrbrecher.<br>Kann Haudrauf ausführen.	Die ultimative Kampftechnologie für die Schwerelosigkeit.<br>Entsendet, um die Ehre des Katzenimperiums zu wahren.<br>Abwehrbrecher. Haudrauf möglich.
079	Diese Katze ist endlich volljährig und hat angefangen<br>zu trinken. Ignorier die Fesseln einfach.<br>Stark gegen rote Feinde.	Diese Katze hat etwas zu viel getrunken.<br>Man sollte alles in Maßen genießen!<br>Stark gegen rote Feinde.	Nach der 20. Weinschorle musste sie zu ihrer eigenen<br>Sicherheit gefesselt werden!<br>Stark gegen rote Feinde. Distanzangriff.
080	Verbirgt ihre Schwäche hinter der Maske eines<br>Dämons.<br>Kann rote Feinde einfrieren.	Eine elegant gekleidete Katze. Bis ...<br>Ruf einfach die Polizei.<br>Kann rote Feinde einfrieren.	Ein Gentlemen's Agreement macht allen das Leben leichter.<br>Aber wer am Boden endet, hat ein übles Los erwischt.<br>Abwehrbrecher. Kann rote Feinde einfrieren.
081	Katzen, die sich als Puppen verkleidet haben.<br>Geringe Gesundheit, aber verschießt Laserstrahlen, die<br>viele Feinde ausschalten. Flächenangriff.	Diese junge Katze steuert den Katzenroboter „Katz-o-tron“,<br>um Laserstrahlen zu verschießen.<br>Leider ist er noch nicht kabellos. Flächenangriff.	Besorgt sich stets den angesagtesten Teppich. Kann seinen<br>Turban-Freund bitten, mächtige Wellenangriffe auszuführen<br>Flächenangriff.
082	Hat Ninjutsu aus einem Manga gelernt.<br>Stärker als die Axtkatze – JA!<br>Wollt ihr kämpfen, rote Feinde?	Hat seine Kenntnisse dank Anime vertieft.<br>Stärker als die Axtkatze – JA!<br>Wollt ihr kämpfen, rote Feinde?	
083	Ein erwachter uralter Katzendrache.<br>Verwüstet alles in seinem Weg. Resistent gg. fliegende<br>Feinde und kann sie zurückstoßen. Flächenangriff.	Eine erwachte uralte Katzendrachenwaffe. Hat seine<br>endgültige Drachenform erreicht. Resistent gg. fliegende<br>Feinde und kann sie zurückstoßen. Flächenangriff.	Sodom hat seine end-endgültige Drachenform erreicht und<br>reißt die Erde mit seiner Macht entzwei! Resistent gegen<br>fliegende Feinde. Rückstoß garantiert. Flächenangriff.
084	Ein erwachter uralter Katzendrache. Wurde erschaffen,<br>um die Welt zu läutern. Kann fliegende Feinde<br>zurückstoßen und verlangsamen. Flächenangriff.	Ein erwachter uralter Katzendrache. Megidora hat seine<br>endgültige Drachenform erreicht. Kann fliegende<br>Feinde zurückstoßen und verlangsamen. Flächenangriff.	Besitzer des Himmlischen Drachensteins. Ist bereit, alles<br>zu verschlingen, um seinen kaiserlichen Thron zu wahren.<br>Kann fliegende Feinde verlangsamen. Flächenangriff.
085	Der legendäre Drachenritter Vars. Ist schon auf über<br>Tausend Drachen geritten. Kann schwarze Feinde<br>zurückstoßen und verlangsamen. Flächenangriff.	Der legendäre Drachenritter Vars entfesselt nun<br>seine gesamte Macht. Kann schwarze Feinde<br>zurückstoßen und verlangsamen. Flächenangriff.	Ein legendärer Ritter, der selbst das wildeste Reittier<br>gebändigt hat, um es Flächenangriffe hageln zu lassen.<br>Kann schwarze Feinde zurückstoßen und verlangsamen.
086	Der uralte Katzendrache Kamukura. Soll in der Lage<br>sein, den Himmel zu erschüttern. Kann rote Feinde<br>zurückstoßen und verlangsamen. Flächenangriff.	Der uralte Katzendrache Kamukura. Hat 7 Kugeln<br>gesammelt und seine wahre Form erreicht. Kann rote<br>Feinde zurückstoßen und verlangsamen. Flächenangriff.	Ein uralter Katzendrache, der die Macht erweckt<br>hat, die in 7 mystischen Kugeln gefangen war.<br>Kann rote Feinde zurückstoßen und verlangsamen.
087	Eine uralte Waffe gegen Katzendrachen.<br>Entfesselt einen Hagel tödlicher Kugeln.<br>Stößt rote Feinde garantiert zurück. Flächenangriff.	Eine uralte Waffe gegen Katzendrachen.<br>Raiden hat voller Gewalt einen Gang hochgeschaltet.<br>Stößt rote Feinde garantiert zurück. Flächenangriff.	Raiden hat seine übermächtige Kraft aktiviert.<br>Nichts widersteht einem Angriff seines heiligen Strahls.<br>Stark gg. rote Feinde. Rückstoß garantiert. Flächenangr.
088	Auf Japanisch: „Nawatobi“.<br>Diese Katze ist günstig in der Herstellung und macht Spaß.<br>Haudrauf möglich.	Seilspringen ist zu zweit deutlich lustiger.<br>Immer noch günstig und effektiv und doppelt so spaßig.<br>Haudrauf möglich.	Immer schnell, günstig und lecker!<br>Das beschreibt sowohl die Katzen als auch ihre Nudeln.<br>Hohe Verteidigung. Haudrauf möglich.
089			
090			
091	Die Standardkatze.<br>Die verrückte Version erlangt hohes Tempo.<br>Aber ihre Beine sind zu kurz ...	Verkaufsargument: definierte Muskeln.<br>Die verrückte Version erlangt hohes Tempo.<br>... und eine noch bessere Form?	Ihre hübsche Frisur hat sie ein bisschen<br>verrückt gemacht, aber sie kommt damit klar.<br>Die irre Version erlangt hohes Tempo.
092	Robust. Hohe Gesundheit. Flächenangriff.<br>Stark genug, um einen Kieselstein heben zu können.<br>Die verrückte Version gewährt hohes Tempo.	Rigorose Verteidigung. Hat jetzt Ecken. Flächenangriff.<br>Stark genug, um einen kleinen Stein heben zu können.<br>Die verrückte Version gewährt hohes Tempo.	Ist elastisch und kann so jede Prügel locker wegstecken.<br>Die irre Version gewährt sogar noch mehr<br>Richtig Gute™ Verteidigung. Flächenangriff.
093	Kampffanatiker.<br>Stark gegen rote Feinde.<br>Die verrückte Version erhöht die Angriffskraft.	Möchtegern-Held.<br>Stark gegen rote Feinde.<br>Die verrückte Version erhöht die Angriffskraft.	Ein charismatischer Ritter, den es nach Kampf dürstet.<br>Stark gegen rote Feinde.<br>Die irre Version gewährt mehr Verteidigung und Angriff.
094	Kann sehr starke Distanzangriffe ausführen.<br>Die verrückte Version führt Wellenangriffe aus, aber<br>erhöht die Produktionszeit.	Ist stolz auf ihre überaus hübschen Beine.<br>Die verrückte Version führt Wellenangriffe aus, aber<br>erhöht die Produktionszeit.	Die Wut hat die Schönheit ihrer Beine und die Kraft ihrer<br>Distanzangriffe noch weiter vergrößert.<br>Sie ist allerdings weniger beliebt.
095	Denkt schnell und reagiert schnell mit Köpfchen.<br>Läuft schnell wie der Wind!<br>Die verrückte Version führt Flächenangriffe aus.	Denkt schnell und reagiert schnell mit Köpfchen.<br>Headbangt nur zu Rock ’n’ Roll!<br>Die verrückte Version führt Flächenangriffe aus.	Ein exzellentes, agiles Kerlchen.<br>Obwohl sie irre ist, gewährt ihr ihre prächtige Mähne<br>irgendwie ein hohes Tempo. Flächenangriff.
096	Hat die Gesundheit einer Erbse.<br>Außergewöhnliche Angriffskraft. Flächenangriff.<br>Die verrückte Version erhöht die Angriffsreichweite.	Hat die Schwerkraft überwunden.<br>Kann sich gegen mehrere Feinde behaupten. Flächenangriff.<br>Die verrückte Version erhöht die Angriffsreichweite.	Dieses irre Flugobjekt zeigt keine Gnade. Es verschießt<br>Lichtstrahlen, die ganze Städte aus der Ferne zerstören.<br>Mehr Schlagkraft! Mehr Reichweite! Garharhar!
097	Stark gegen rote Feinde.<br>Die verrückte Version verkürzt die Produktionszeit.<br>Haudrauf möglich.	Wurde zum fleischfressenden Wal.<br>Stark gegen rote Feinde.<br>Haudrauf möglich.	Auf dieser irren Insel sollen Dämonen leben.<br>Stark gegen rote Feinde. Haudrauf möglich.<br>Die irre Version hat mehr Angriff und Verteidigung!
098	Kann Feinde aus der Entfernung angreifen.<br>Schlagkräftiger Distanzangriff gegen einen Feind.<br>Die verrückte Version gibt es jetzt auch in HD.	Ist aus einer Fantasywelt hierher gekommen.<br>Schlagkräftiger Distanzangriff gegen einen Feind.<br>Die verrückte Version gibt es jetzt auch in HD.	Selbst seine Raserei hat ihn nicht davon abgehalten, der<br>Elite beizutreten! Seine Angriffskraft und überragende<br>rohe Gewalt sind unvergleichlich. Behauptet er zumindest.
099	Mit gewaltiger Angriffskraft und lächerlich hoher<br>Gesundheit gesegnet. Flächenangriff.<br>Verrückte Version führt Wellenangriffe aus.	Mit gewaltiger Angriffskraft gesegnet.<br>Gewaltige Angriffskraft und Gesundheit.<br>Verrückte Version führt Wellenangriffe aus.	Wenn sie irre ist, kann niemand ihre göttergleiche<br>Verteidigung, ihren Angriff und ihr Tempo überwinden.<br>Ihre Wellenangriffe werden auch öfter ausgelöst!
100	Ihre Schläge sind Botschaften, die die reinen<br>Gefühle, die in ihrem Herz schlummern, übermitteln.<br>Stark gegen rote Feinde. Flächenangriff.	Sie hat mit dem Herzschmerz abgeschlossen und lebt jetzt<br>für den Sport. Sie ist nicht mehr aufzuhalten.<br>Stark gegen rote Feinde. Flächenangriff.	Sie hat sich dem Sport verschrieben. Ihre unvergleichliche<br>körperliche Kraft hat ihr 22 Goldmedaillen für das<br>Vernichten roter Feinde eingebracht. Flächenangriff.
101			
102			
103	Superstar-Katze und Idol der Musikwelt.<br>Du wirst deinen Augen nicht trauen, wenn<br>sie sich auf Stufe 10 entwickelt.	Legendär für ihre Fähigkeit, allen Zuschauern<br>bei ihrem Anblick die Sprache zu verschlagen.<br>Einfach umwerfend! (Flächenangriff)	Die atemberaubenden Farben bringen ihre<br>Pracht auf geradezu mythische Ebenen.<br>Einfach umwerfend! (Flächenangriff)
104	Entfernter Verwandter der Fischkatze.<br>Ein guter Fernkämpfer.<br>Stark gegen rote Feinde.	Der entfernte Cousin der Koi-Katze und der Stelzenkatze.<br>Ist es eher eine Koi- oder eine Stelzenkatze?<br>Stark gegen rote Feinde.	Liebe ist ... Leidenschaft oder Illusion?<br>Ich weiß nur, dass ich es liebe, zu schwimmen.<br>Stark gegen rote Feinde. Flächenangriff.
105	Eifrige Hexe, die mit Zauberkraft ihren Stab bewegt,<br>um aus der Ferne heftigen Schaden zu verursachen.<br>Stark gegen rote/schwarze Feinde. Flächenangriff.	Eifrige Adeptin seltsamer Zauberkräfte.<br>Kann nicht gut mit Männern umgehen. Wird schnell ausfällig.<br>Stark gegen rote/schwarze Feinde. Flächenangriff.	Verkennst du ihre Stärke, zeigt sie dir bald wahren Schmerz.<br>Deine Entschuldigungen treiben sie nur noch mehr an.<br>Stark gegen rote/schwarze Feinde. Flächenangriff.
106	Hohlköpfiges Mädchen auf dem Roboterschwein „Tonton“.<br>Feuert auf kurze Distanz starke Strahlen ab. Resistent<br>gegen fliegende Feinde. Überlebenswille. Flächenangriff.	Mag jeden, der lieb zu ihr ist.<br>Ihre Liebeshürde beträgt nur 3 cm. Resistent<br>gegen fliegende Feinde. Überlebenswille. Flächenangriff.	Alle süßen Typen mögen - ist das noch ein Beuteschema?<br>Reist immer auf ihrem Robokeiler umher. Resistent<br>gegen fliegende Feinde. Überlebenswille. Flächenangriff.
107	Sie zieht magische Schönheit aus ihrem Stab.<br>Sie feuert Lichtstrahlen ab.<br>Kann fliegende Feinde einfrieren. Flächenangriff.	Lächelt nicht oft. Wenn sie aber<br>Katzen sieht, sieht es anders aus.<br>Kann fliegende Feinde einfrieren. Flächenangriff.	Was kannst du für sie tun, was ihre Lieblingskatze<br>nicht schon tut? Komm in 100 Jahren wieder, Knirps.<br>Kann fliegende Feinde einfrieren. Flächenangriff.
108	Leben glücklich in einem Plastikball.<br>Sie brauchen die Welt da draußen nicht!<br>(Nehmt sie euch nicht zum Vorbild, liebe Kinder ...)	Eine selbstgebaute Festung, die so robust ist, wie es<br>das minimale Budget zugelassen hat. Robust gegen<br>Angriffe, außer Nässe ... dagegen ist sie anfällig.	
109	Alte Erinnerungen werden neu entfacht.<br>Mit ihrer hohen Gesundheit wirkt sie wie ein Schild.<br>Teilt zudem etwas Schaden aus. Flächenangriff.	Nun, da sie ihren Traummann geheiratet hat,<br>kann ihr niemand mehr die Herrschaft streitig machen.<br>Hohe Resistenz und guter Schaden. Flächenangriff.	Sie will über mehr als ihre Heimat herrschen und hat<br>die weite Wildnis der Bestien unterworfen. Autorität<br>schützt sie: Überlebenswille. Flächenangriff.
110	Joining the fight from Merc Storia! Kind-<br>hearted girl who will do anything for others.<br>Small chance to Slow Red enemies.	Joining the fight from Merc Storia!<br>Her fan club grows daily across the land.<br>Small chance to Slow Red enemies.	
111	Joining the fight from Merc Storia!<br>A gentle and naive young lady.<br>Tough vs Black enemies.	Joining the fight from Merc Storia!<br>Don't be fooled, her tail is incredibly powerful!<br>Tough vs Black enemies.	
112	Joining the fight from Merc Storia!<br>Left her homeland to learn about the world.<br>Small chance to Knockback Red.	Joining the fight from Merc Storia!<br>Has a kind face but a sadistic nature.<br>Small chance to Knockback Red.	
113	Joining the fight from Merc Storia!<br>A gentle young lad who loves stargazing.<br>Small chance to Freeze Red.	Joining the fight from Merc Storia!<br>Serene but slightly absentminded youth.<br>Small chance to Freeze Red.	
114	Joining the fight from Merc Storia!<br>A genteel youth with a reckless nature.<br>Small chance to Slow Black enemies.	Joining the fight from Merc Storia! Enjoys<br>drinking under the moon, but he's a light-weight.<br>Small chance to Slow Black enemies.	
115	Joining the fight from Merc Storia!<br>Loyal to her master in the Sky Country.<br>Small chance to Knockback Black.	Joining the fight from Merc Storia! Known<br>among the people for devotion to justice!<br>Small chance to Knockback Black.	
116	Joining the fight from Merc Storia! A lass from<br>the Sky Country, horned due to her mixed blood.<br>Might Freeze Black enemies.	Joining the fight from Merc Storia! Taking grand-<br>dad's teachings to heart, she travels the world.<br>Might Freeze Black enemies.	
117	Joining the fight from Merc Storia! Normally<br>shy, but if you get her talking about guns...<br>Area attacks might Knockback Black.	Joining the fight from Merc Storia!<br>Gun maintenance is her number one hobby.<br>Area attacks might Knockback Black.	
118	Joining the fight from Merc Storia! Her strong<br>emotions cause shocks to people nearby.<br>Area attacks might Slow Black.	Joining the fight from Merc Storia!<br>Monsters flee from her presence.<br>Area attacks might Slow Black.	
119	Joining the fight from Merc Storia! Delivering<br>powerful blows from above that cause<br>Massive Area damage vs Black enemies.	The Cats adopted a poor lost Wyvern from<br>Merc Storia to research Cat-Dragon fusion.<br>Massive Area damage vs Black enemies.	
120	The hero of Merc Storia joins the fight!<br>Can soothe the heart of savage beasts.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>A weak and monster-phobic young lad.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>Transformed into a Cat by his own experiments.<br>Area Attacks have 100% Freeze!
121	Joining the fight from Merc Storia!<br>Mystic girl in a jar, bought for 10 Gold.<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>Cat joins her in the jar for the big fight!<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>The girl in a jar bought a Cat for 10 Gold.<br>Might Critical Attack.
122	Eine schüchterne Bürodame, die auf mittlere Distanz angreift.<br>Lässt es im Urlaub so richtig krachen!<br>Schneller Angriff und stark gegen rote Feinde.	Der Schein trügt nicht: eine typische Büroangestellte.<br>Aber was passiert nach der Arbeit ...?<br>Hohes Angriffstempo. Stark gegen rote Feinde.	Lässt sich den ganzen Tag von Kunden und Chefs herum-<br>schubsen. Aber nach Dienstschluss ist alles anders ...<br>Kann zurückstoßen. Stark gegen rote Feinde.
123	Soll auch den Spitznamen „MiauMiau“ tragen.<br>Kommen immer gut miteinander aus.<br>Können rote Feinde zurückstoßen.	Man munkelt, dass „BH“ in diesem Fall<br>tatsächlich für „Bohnenhalter“ steht.<br>Können rote Feinde zurückstoßen.	Beste Kumpels, die in der Rüstung einer Göttin herumtollen.<br>Schlägt hohe Wellen bei lokalen Dreibeinrennen.<br>Kolosstöter, kann rote Feinde zurückstoßen.
