000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
083	Un Chat dragon ancestral éveillé.<br>Il détruit tout autour de lui. (Att. de zone)<br>Peut repousser les ennemis flottants et leur résister.	Un Chat dragon ancestral éveillé, véritable machine à tuer !<br>Il a atteint sa forme draconique finale. (Att. de zone)<br>Peut repousser les ennemis flottants et leur résister.	Sodom a débloqué sa forme draconique finale ULTIME.<br>La Terre n’a qu’à bien se tenir !<br>Repousse 100 % des ennemis flottants et leur résiste. (Zone)
084	Un Chat dragon ancestral éveillé.<br>Créé pour purifier le monde. (Att. de zone)<br>Peut repousser/ralentir les ennemis flottants.	Un Chat dragon ancestral éveillé.<br>Megidora a atteint sa forme draconique finale. (Att. de zone)<br>Peut repousser/ralentir les ennemis flottants.	Il possède la pierre draconique divine. Il est prêt<br>à en découdre pour ne pas être détrôné.<br>Ses attaques de zone peuvent ralentir les ennemis flottants.
085	Le légendaire Chavalier dragon Vars. (Att. de zone)<br>A chevauché plus de mille dragons.<br>Peut repousser/ralentir les ennemis noirs.	Le légendaire Chavalier dragon Vars. (Att. de zone)<br>Libère désormais toute sa puissance.<br>Peut repousser/ralentir les ennemis noirs.	Un Chavalier légendaire capable de dompter la plus<br>sauvage des montures pour faire pleuvoir ses att. de zone.<br>Peut repousser/ralentir les ennemis noirs.
086	Un Chat dragon ancestral. (Att. de zone)<br>On raconte qu’il fait trembler les cieux.<br>Peut repousser/ralentir les ennemis rouges.	Un Chat dragon ancestral. (Att. de zone)<br>A atteint sa forme ultime après avoir acquis 7 globes.<br>Peut repousser/ralentir les ennemis rouges.	Un Chat dragon ancestral qui a révélé le pouvoir enfoui<br>des 7 globes mystiques.<br>Peut repousser/ralentir les ennemis rouges.
087	Un Chat dragon ancestral, véritable machine à tuer !<br>Tire une salve de balles mortelles.<br>100 % de recul des ennemis rouges. (Zone)	Un Chat dragon ancestral, véritable machine à tuer !<br>Il a dû passer à la vitesse supérieure.<br>100 % de recul des ennemis rouges. (Zone)	Le surrégime a révélé toute la puissance de Raiden.<br>Rien ne résiste au souffle de son rayon sacré.<br>Assure contre les ennemis rouges/les repousse à 100 %. (Zone)
088	« Nawatobi » en japonais.<br>Production abordable, l’amusement en plus.<br>Ses attaques peuvent être critiques.	La corde à sauter, c’est mieux à deux !<br>Abordables et efficaces. C’est deux fois plus amusant !<br>Leurs attaques peuvent être critiques.	Toujours rapides, abordables et... exquis !<br>Ce qui s’applique autant à ces Chats qu’aux nouilles.<br>Défense balèze et chances de frappes critiques.
089			
090			
091	Le Chat de base.<br>La version maboule octroie une vitesse surnaturelle.<br>Mais il est court sur pattes !	Son atout charme : ses muscles bien dessinés.<br>La version maboule octroie une vitesse surnaturelle.<br>Et des muscles encore mieux dessinés ?	Sa coiffure l’a rendu un peu dingue,<br>mais il fait l’affaire.<br>La version démente octroie une vitesse surnaturelle.
092	Balèze. Santé élevée. (Att. de zone)<br>Capable de soulever un caillou.<br>La version maboule octroie une vitesse surnaturelle.	Solide défense. Désormais doté de coins. (Att. de zone)<br>Capable de soulever un galet.<br>La version maboule octroie une vitesse surnaturelle.	Son élasticité le rend insensible aux coups.<br>La version démente renforce<br>sa défense Vachement bien. (Att. de zone)
093	Un fou des combats.<br>Assure contre les ennemis rouges.<br>La version maboule augmente la puissance d’attaque.	Un aspirant héros.<br>Assure contre les ennemis rouges.<br>La version maboule augmente la puissance d’attaque.	Un Chavalier charismatique avide de combats,<br>balèze contre les ennemis rouges.<br>Cherche frénétiquement à améliorer sa défense et son attaque.
094	Peut effectuer de puissantes attaques longue portée.<br>La version maboule octroie des vagues offensives,<br>mais augmente la durée de production.	Pas peu fier de ses jambes galbées.<br>La version maboule octroie des vagues offensives,<br>mais augmente la durée de production.	Sa frénésie a sublimé ses jambes<br>et la puissance de ses attaques longue portée.<br>Sa cote de popularité est en baisse, en revanche.
095	Réfléchit vite et bien. Très réactif.<br>Une vraie flèche !<br>La version maboule octroie des attaques de zone.	Réfléchit vite et bien. Très réactif.<br>Ne secoue la tête que sur du rock !<br>La version maboule octroie des attaques de zone.	Très agile et impressionnant.<br>Bien qu’il soit dément, sa majestueuse crinière<br>lui octroie une vitesse surnaturelle. (Att. de zone)
096	A une santé minime mais<br>une puissance d’attaque exceptionnelle. (Att. de zone)<br>La version maboule augmente la portée d’attaque.	Est parvenu à défier la gravité.<br>Efficace contre plusieurs ennemis. (Att. de zone)<br>La version maboule augmente la portée d’attaque.	Cet objet volant dément n’a aucune pitié et détruit<br>des villes à distance avec ses rayons lumineux.<br>Toujours plus loin ! Toujours plus fort ! Mouahaha !
097	Assure contre les ennemis rouges.<br>Fort contre les ennemis rouges.<br>Ses  attaques peuvent être critiques.	Est parvenu à devenir carnivore.<br>Fort contre les ennemis rouges.<br>Ses  attaques peuvent être critiques.	On raconte que cette île démente abrite des dragons.<br>Fort contre les ennemis rouges, ses att. peuvent être critiques.<br>Sa folie lui octroie plus d’attaque et de défense !
098	Peut attaquer les ennemis à distance.<br>Puissante attaque longue portée en un seul tir.<br>La version maboule est compatible en HD.	Tout droit sorti d’un monde fantastique.<br>Puissante attaque longue portée en un seul tir.<br>La version maboule est compatible en HD.	Sa folie ne l’empêchera pas de rejoindre les rangs<br>de l’élite ! Ses attaques et son potentiel<br>graphique sont inégalés. Enfin, c’est lui qui le dit...
099	Doté d’une puissance d’attaque extrême<br>et d’une santé ridiculement élevée. La version<br>maboule octroie des vagues offensives. (Att. de zone)	Doté d’une puissance d’attaque extrême<br>et d’une défense incroyable.<br>La version maboule octroie des vagues offensives.	Une fois dément, nul ne résiste à sa défense et ses<br>attaques divines ni ne surpasse sa vitesse surnaturelle.<br>Et ses vagues offensives sont plus fréquentes !
100	Ses coups de poing sont des messages<br>exprimant les émotions pures de son cœur.<br>Forte contre les ennemis rouges. (Att. de zone)	Passée outre ses problèmes de cœur,<br>elle s’est tournée vers le sport. Personne ne l’arrêtera.<br>Forte contre les ennemis rouges. (Att. de zone)	Ne vit que pour le sport. Sa puissance physique<br>inégalée lui a permis de remporter 22<br>médailles d’or en démolition d’ennemis rouges. (Att. de zone)
101			
102			
103	Chat superstar et idole musicale.<br>Tu ne vas pas en croire tes yeux<br>quand il évoluera au niveau 10.	Légendaire pour sa capacité à surprendre<br>tous ceux qui posent les yeux sur lui.<br>Son apparence est stupéfiante ! (att. de zone)	Ses couleurs éblouissantes font passer<br>sa splendeur à des niveaux mythologiques.<br>Son apparence est stupéfiante ! (att. de zone)
104	Cousin lointain du Chat poisson.<br>Doué en attaques longue portée.<br>Fort contre les ennemis rouges.	Cousin lointain du Chat koï et du Grand Chat.<br>Se demande encore s’il est koï ou grand.<br>Fort contre les ennemis rouges.	L’amour... Passion ou illusion ?<br>Tout ce que je sais, c’est que j’adore nager.<br>Fort contre les ennemis rouges. (Att. de zone)
105	Fervente adepte d’une étrange sorcellerie, elle inflige<br>de gros dégâts à distance avec son bâton.<br>Forte contre les ennemis noirs/rouges. (Att. de zone)	Fervente adepte d’une étrange sorcellerie.<br>S’y prend mal avec les hommes, agressive verbalement.<br>Forte contre les ennemis noirs/rouges. (Att. de zone)	Traite-la de mauviette et tu connaîtras l’agonie.<br>Tes excuses ne feront qu’intensifier ses coups de bâton.<br>Forte contre les ennemis rouges/noirs. (Att. de zone)
106	Tête en l’air toujours juchée sur Tonton, son robot cochon.<br>Lance de puissants rayons à bout portant. Dégâts des<br>ennemis flottants réduits, survit une fois. (Att. de zone)	Finit par apprécier toute personne gentille à son égard.<br>Son obstacle à l’amour mesure 3 cm. (Att. de zone)<br>Dégâts des ennemis flottants réduits, survit une fois.	Elle en pince pour tous les jolis garçons. Sans exception.<br>Sa déplace toujours à dos de robot-porc. Dégâts des<br>ennemis flottants réduits, survit une fois. (Att. de zone)
107	Beauté magique. Puise son énergie dans son bâton.<br>Lance des rayons lumineux. Peut immobiliser<br>les ennemis flottants.  (Att. de zone)	Ne sourit pas souvent. (Att. de zone)<br>Mais face à un Chat, c’est une autre histoire.<br>Peut arrêter les ennemis flottants.	Que peux-tu faire pour elle que son Chat favori<br>ne fait pas déjà ? Reviens dans 100 ans,<br>minot. Peut arrêter les ennemis flottants. (Att. de zone)
108	Ils vivent heureux dans leur bulle en plastique.<br>Pas besoin du monde extérieur !<br>(N’en faites pas des modèles, les enfants...)	Une forteresse artisanale aussi robuste que le permet<br>un budget de 0,50 €. Balèze contre diverses attaques,<br>mais pas à l’humidité... Son point faible.	
109	Se remémore des souvenirs enfouis.<br>Sert de bouclier avec sa santé de fer.<br>Inflige aussi quelques dégâts. (Att. de zone)	Depuis qu’elle a capturé l’homme de ses rêves,<br>son règne domestique est indiscutable.<br>Haute résistance et dégâts efficaces. (Att. de zone)	Insatisfaite de régner sur sa maison, elle domine maintenant<br>un large éventail de bêtes. L’autorité la protège décemment,<br>lui permettant même d’éviter la mort une fois. (Att. de zone)
110	Joining the fight from Merc Storia! Kind-<br>hearted girl who will do anything for others.<br>Small chance to Slow Red enemies.	Joining the fight from Merc Storia!<br>Her fan club grows daily across the land.<br>Small chance to Slow Red enemies.	
111	Joining the fight from Merc Storia!<br>A gentle and naive young lady.<br>Tough vs Black enemies.	Joining the fight from Merc Storia!<br>Don't be fooled, her tail is incredibly powerful!<br>Tough vs Black enemies.	
112	Joining the fight from Merc Storia!<br>Left her homeland to learn about the world.<br>Small chance to Knockback Red.	Joining the fight from Merc Storia!<br>Has a kind face but a sadistic nature.<br>Small chance to Knockback Red.	
113	Joining the fight from Merc Storia!<br>A gentle young lad who loves stargazing.<br>Small chance to Freeze Red.	Joining the fight from Merc Storia!<br>Serene but slightly absentminded youth.<br>Small chance to Freeze Red.	
114	Joining the fight from Merc Storia!<br>A genteel youth with a reckless nature.<br>Small chance to Slow Black enemies.	Joining the fight from Merc Storia! Enjoys<br>drinking under the moon, but he's a light-weight.<br>Small chance to Slow Black enemies.	
115	Joining the fight from Merc Storia!<br>Loyal to her master in the Sky Country.<br>Small chance to Knockback Black.	Joining the fight from Merc Storia! Known<br>among the people for devotion to justice!<br>Small chance to Knockback Black.	
116	Joining the fight from Merc Storia! A lass from<br>the Sky Country, horned due to her mixed blood.<br>Might Freeze Black enemies.	Joining the fight from Merc Storia! Taking grand-<br>dad's teachings to heart, she travels the world.<br>Might Freeze Black enemies.	
117	Joining the fight from Merc Storia! Normally<br>shy, but if you get her talking about guns...<br>Area attacks might Knockback Black.	Joining the fight from Merc Storia!<br>Gun maintenance is her number one hobby.<br>Area attacks might Knockback Black.	
118	Joining the fight from Merc Storia! Her strong<br>emotions cause shocks to people nearby.<br>Area attacks might Slow Black.	Joining the fight from Merc Storia!<br>Monsters flee from her presence.<br>Area attacks might Slow Black.	
119	Joining the fight from Merc Storia! Delivering<br>powerful blows from above that cause<br>Massive Area damage vs Black enemies.	The Cats adopted a poor lost Wyvern from<br>Merc Storia to research Cat-Dragon fusion.<br>Massive Area damage vs Black enemies.	
120	The hero of Merc Storia joins the fight!<br>Can soothe the heart of savage beasts.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>A weak and monster-phobic young lad.<br>Small chance to Freeze enemies.	The hero of Merc Storia joins the fight!<br>Transformed into a Cat by his own experiments.<br>Area Attacks have 100% Freeze!
121	Joining the fight from Merc Storia!<br>Mystic girl in a jar, bought for 10 Gold.<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>Cat joins her in the jar for the big fight!<br>Small chance of Critical Attack.	Joining the fight from Merc Storia!<br>The girl in a jar bought a Cat for 10 Gold.<br>Might Critical Attack.
122	Employée de bureau timorée et attaquante à moyenne portée.<br>Aime se défouler en vacances !<br>Attaque rapide. Forte contre les ennemis rouges.	Une employée de bureau tout ce qu’il y a de plus banal.<br>Mais que fait-elle après le travail ?<br>Vitesse d’attaque rapide. Forte contre les ennemis rouges.	Ses clients et chefs la malmènent toute la journée.<br>Mais après le travail, c’est une tout autre histoire...<br>Forte contre les ennemis rouges. Peut repousser.
123	Alias « Les Charicots ».<br>Sont toujours gentils l’un envers l’autre.<br>Peuvent repousser les ennemis rouges.	Affublés du surnom de « Chatons au balcon » depuis qu’ils ont<br>troqué leur cosse contre de la soie raffinée made in France.<br>Peuvent repousser les ennemis rouges.	Des BFF qui chahutent et batifolent dans 1 armure de déesse.<br>Font des vagues dans les courses du coin. Fléau des colosses,<br>peut repousser les rouges.
124	La malédiction du bouclier félin légendaire<br>l’a transformé en machine de guerre.<br>repousser les ennemis noirs et rouges. (Att. de zone)	Mode Enfer du bouclier félin activé !<br>Ses attaques de zone infernales lacèrent ses ennemis !<br>Peut repousser les ennemis noirs et rouges.	Une haine infernale se dégage du bouclier.<br>Ses lames karmiques balaient les ennemis !<br>Ses att. de zone repoussent les ennemis noirs et rouges.
