000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
076	雷のチカラを操る電脳ギャル<br>遠距離から放たれる強烈なイカヅチは<br>赤い敵に超ダメージを与える(範囲攻撃)	慢性的な肩こりにいつも悩んでいる<br>遠距離から放たれる強烈なイカヅチは<br>赤い敵に超ダメージを与える(範囲攻撃)	サイズの合う服がなかなか無いのが悩み<br>遠距離から放たれる強烈な大イカヅチは<br>赤い敵に超ダメージを与える(範囲攻撃)
077	体力を多く備えた盾用のキャラ<br>タンクネコよりもダンスがうまい<br>メタルな敵に打たれ強い(範囲攻撃)	体力を多く備えた盾用のキャラ<br>油性マジックで描かれているので水にも強い<br>メタルな敵に打たれ強い(範囲攻撃)	体力を多く備えた盾用のキャラに季節限定カラー登場<br>価格据え置き、生産能力アップを実現！<br>メタルな敵に打たれ強い(範囲攻撃)
078	遠距離から攻撃が得意な宇宙飛行士<br>体力はあまり無い。たまにバリアを貫き<br>ごくたまにクリティカル攻撃を放つ	最近、中尉から少佐へ特進した宇宙飛行士<br>体力はあまり無い。たまにバリアを貫き<br>ごくたまにクリティカル攻撃を放つ	銀河の秩序を守るため宇宙生物と戦うネコ<br>逆境に立たされながら一人前の戦士へと成長した<br>たまにバリアを貫き、ごくたまにクリティカルを放つ
079	立派な成人式を迎えたにゃんこ<br>お酒は二十歳になってから！<br>｢赤い敵｣にめっぽう強い	調子にのってムチャしすぎたにゃんこ<br>なにごともほどほどに！<br>｢赤い敵｣にめっぽう強い	ムチャしすぎてお縄についたにゃんこ<br>お酒は飲んでも飲まれるな！遠方攻撃を取得し<br>｢赤い敵｣にめっぽう強いが近くの敵を攻撃出来ない
080	節分のマメが欲しくて<br>鬼のかっこうをしたにゃんこ<br>赤い敵の動きをごくたまに一瞬止める	紳士的に服を着たにゃんこ<br>ときおり我慢しきれなくてがばっと脱ぐ<br>赤い敵の動きをごくたまに一瞬止める	紳士的な所作を完璧にこなす<br>息ぴったりの二人羽織ネコ。たまにバリアを貫き、<br>赤い敵の動きを止め、生産性もアップ
081	乙女の季節にあらわれる<br>体力は少ないが敵をまとめて一掃する<br>破壊力を持ったキャラ(範囲攻撃)	少年にゃんこの持つリモコンで<br>コントロール可能なにゃんこロボ<br>光の力で攻撃する(範囲攻撃)	魔法のランプに魂を吸い込まれたネコ<br>ターバンを巻いたネコに笛を吹かれると<br>ビームを放ってしまう。波動付き(範囲攻撃)
082	漫画の力で忍者を極めた限定キャラ<br>バトルネコよりも性能が高く<br>｢赤い敵｣にめっぽう強い	アニメの力で忍者を極めた限定キャラ<br>バトルネコよりも性能が高く<br>｢赤い敵｣にめっぽう強い	
083	古代兵器により封印されし伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>浮いてる敵に打たれ強く、たまにふっとばす	封印されていた力が覚醒した伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>浮いてる敵に打たれ強く、たまにふっとばす	大地に根差す万物から力を得た地龍石のエネルギー<br>により最後の封印を解き放った伝説の龍族(範囲攻撃)<br>浮いてる敵に打たれ強く、必ずふっとばす
084	世界浄化の為に生を受けた伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに浮いてる敵をふっとばして移動を遅くする	怒りのパワーが暴走した伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに浮いてる敵をふっとばして移動を遅くする	聖龍石を手に入れ真の皇帝となった龍の王<br>己が使命を達すべく全てを焼き滅ぼす(範囲攻撃)<br>たまに浮いてる敵をふっとばして移動を遅くする
085	数千匹ものドラゴンを従えた伝説の竜騎士<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに黒い敵をふっとばして移動を遅くする	戦闘能力を強化させた伝説の竜騎士<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに黒い敵をふっとばして移動を遅くする	いかなる獰猛な竜も支配する竜騎石をたずさえ<br>幾千匹ものドラゴン軍団を率いる伝説の竜騎士<br>たまに黒い敵をふっとばして移動を遅くする(範囲攻撃)
086	世界の天変地異を操る伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに赤い敵をふっとばして移動を遅くする	七龍珠により覚醒した伝説の竜族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに赤い敵をふっとばして移動を遅くする	七龍珠の力を覚醒させる神龍石を身に宿し<br>人々の願いを叶えるという伝説の神龍(範囲攻撃)<br>たまに赤い敵をふっとばして移動を遅くする
087	竜族を殲滅すべく造られた伝説の古代兵器<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>赤い敵を必ずふっとばす	制御機能をオーバードライブさせた古代兵器<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>赤い敵を必ずふっとばす	竜戦機石の力で超電圧を手に入れた古代兵器<br>最大出力のレーザーで地上を焼き尽くす(範囲攻撃)<br>赤い敵にめっぽう強く、必ずふっとばす
088	英語で言うとジャンピングロープ<br>生産コストが安めで比較的量産がしやすい<br>ごくたまにクリティカル攻撃を放つ	一人でやるよりも二人が楽しいよね<br>生産コストが安めで比較的量産がしやすい<br>ごくたまにクリティカル攻撃を放つ	速い！安い！美味い！がモットーのお蕎麦屋さん<br>生産コストが安めで比較的量産しやすい。メタルな敵に<br>打たれ強くごくたまにクリティカル攻撃を放つ
089	コラボイベントの限定キャラクター<br>遠距離から放たれる強烈な魔法弾は<br>赤い敵に超ダメージを与える(範囲攻撃)	カラフル＆スケールアップ<br>遠距離から放たれる強烈な魔法弾は<br>赤い敵に超ダメージを与える(範囲攻撃)	
090	コラボイベントの限定キャラクター<br>単体攻撃だが、強靭な肉体と<br>高い攻撃力を兼ね備えた万能キャラ	大迫力のSSSにクラスチェンジ<br>単体攻撃だが、強靭な肉体と<br>高い攻撃力を兼ね備えた万能キャラ	
091	安価で生産できる基本キャラ<br>狂乱となることで神速を入手<br>しかし足が短いので思ったよりは遅い	狂おしいほどの鍛えぬいた腕筋が<br>チャームポイントの基本キャラ<br>しかし腕は使わない	鍛えぬいた筋肉に男前なタテガミの<br>フサフサが萌えポイントの基本キャラ<br>大狂乱となることでさらなる神速を入手
092	体力を多く備えた盾用のキャラ<br>攻撃力はスズメの涙ほど(範囲攻撃)<br>狂乱となることで神速を入手	まさにカベに徹する為の盾専用キャラ<br>攻撃力はあいかわらず(範囲攻撃)<br>狂乱となることで神速を入手	まさにカベに徹する為の盾専用キャラ<br>大狂乱となることで超弾力を取得し超体力も入手<br>攻撃力はあいかわらず(範囲攻撃)
093	戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い<br>狂乱となることで攻撃力が増加した	勇者にあこがれる戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い<br>狂乱となることで攻撃力が増加した	カリスマ暗黒騎士に弟子入りした戦闘向きのキャラ<br>｢赤い敵｣にめっぽう強い<br>大狂乱となることでさらに体力と攻撃力がアップ
094	遠くの敵を攻撃できる遠距離型キャラ<br>狂乱となることで波動をマスターしたが<br>生産力が落ちてしまっている	美しすぎる足が自慢の遠距離型キャラ<br>狂乱となることで波動をマスターしたが<br>生産力が落ちてしまっている	筋肉美が自慢の遠距離型キャラ<br>大狂乱となることで体力と波動攻撃が強化されたが<br>人気が大幅ダウンしてしまっている
095	俊敏な動きで移動力に優れたキャラ<br>攻撃回数と移動スピードはハンパない<br>狂乱となることで範囲攻撃をマスター	俊敏な動きで移動力に優れたキャラ<br>長い首でのヘッドバンギングが笑える<br>狂乱となることで範囲攻撃をマスター	俊敏な動きで移動力に優れたキャラ<br>神々しいタテガミは何かご利益があると噂される<br>大狂乱となることで更なる神速をゲット(範囲攻撃)
096	体力は少ないが敵をまとめて一掃する<br>超破壊力を持ったキャラ(範囲攻撃)<br>狂乱となることでリーチが伸びている	重力を超越した改造にゃんこ<br>敵をまとめてお仕置き可能(範囲攻撃)<br>狂乱となることでリーチが伸びている	放たれる光弾は巨大都市を一瞬で焼き払った<br>と伝えられる空中都市型にゃんこ(範囲攻撃)<br>大狂乱となることで攻撃力と射程がアップ
097	｢赤い敵｣にはめっぽう強く<br>狂乱となることで生産性が向上した<br>ごくたまにクリティカル攻撃を放つ	肉食クジラに進化した高級戦闘キャラ<br>｢赤い敵｣にはめっぽう強い<br>ごくたまにクリティカル攻撃を放つ	鬼が住むと噂のあるにゃんこ向け温泉リゾート<br>赤い敵にめっぽう強く、ごくたまにクリティカルを放つ<br>大狂乱となることで体力と攻撃力がアップ
098	遠くの敵を攻撃できる遠距離型キャラ<br>単発だけなら攻撃力はピカイチ<br>狂乱となることでグラフィックが向上した	幻想世界から降臨した遠距離型キャラ<br>単発だけなら攻撃力はピカイチ<br>狂乱となることでグラフィックが向上した	ドラゴン界のエリートまで上り詰めた遠距離型キャラ<br>単発だけなら攻撃力はピカイチ。大狂乱となることで<br>さらにグラフィックが向上し、能力もアップした
